string1,string2,LevenshteinDistance,Jaro,JaroWinklerDistance
Attribute1,Attribute1,0,1.0,1.0
Attribute2,Attribute2,0,1.0,1.0
Attribute3,Attribute3,0,1.0,1.0
value1,Avalue,2,1.0,1.0
value2,valueB,1,1.0,1.0
value3,valueC,1,1.0,1.0
value4,valueD,1,1.0,1.0
value5,valueE,1,1.0,1.0
value6,valueF,1,1.0,1.0
value7,valueG,1,1.0,1.0
value8,valueH,1,1.0,1.0
value9,valueI,1,1.0,1.0
value10,valueJ,2,1.0,1.0
value11,valueK,2,1.0,1.0
value12,valueL,2,1.0,1.0
value13,,7,1.0,1.0
value14,,7,1.0,1.0
value15,,7,1.0,1.0
value16,,7,1.0,1.0
value17,,7,1.0,1.0
value18,,7,1.0,1.0
