Word	Tag
A	O
64-year-old	O
African	
American	
male	
with	
unknown	
past	
medical	
history	
arrived	
in	
the	
trauma	
bay	
following	
a	
motor	
vehicle	
accident	
.	
	
On	
initial	
evaluation,	
the	
patient	
was	
alert	
but	
somewhat	
confused	
and	
had	
a	
Glasgow	
Coma	
Scale	
(GCS)	
of	
13	
.	
	
Focused	
Assessment	
with	
Sonography	
in	
Trauma	
(FAST)	
exam	
was	
performed	
immediately	
following	
the	
primary	
survey	
and	
found	
to	
be	
positive	
in	
the	
hepatorenal	
space	
.	
	
The	
patient	
was	
hemodynamically	
stable	
and	
was	
taken	
for	
further	
imaging	
including	
CTs	
of	
the	
head,	
cervical	
spine,	
chest,	
abdomen	
and	
pelvis	
that	
revealed	
multiple	
injuries	
including	
subarachnoid	
hemorrhage,	
anterior	
left	
3rd–8th	
rib	
fractures,	
right	
posterior	
1st–3rd	
rib	
fractures,	
peri-hepatic	
and	
peri-splenic	
hematomas,	
and	
a	
left	
lower	
quadrant	
mesenteric	
hematoma	
with	
active	
extravasation	
.	
	
The	
patient	
was	
admitted	
to	
the	
ICU	
and	
underwent	
conservative	
man-agement	
of	
mesenteric,	
peri-hepatic,	
and	
peri-splenic	
hematomas	
.	
	
On	
hospital	
day	
6,	
the	
patient's	
mental	
status	
began	
to	
deteriorate,	
prompting	
an	
immediate	
CT	
of	
his	
head	
and	
EEG,	
which	
were	
both	
negative	
.	
	
A	
repeat	
CT	
abdomen	
and	
pelvis	
study	
was	
not	
ordered	
at	
this	
time	
.	
	
The	
patient	
was	
thought	
to	
be	
experiencing	
post-traumatic	
encephalopathy	
and	
eventually	
declined	
to	
GCS	
3T	
.	
	
After	
discussion	
with	
family,	
the	
decision	
was	
made	
to	
perform	
tracheostomy	
and	
laparoscopic	
gastrostomy	
tube	
placement	
.	
	
The	
patient	
was	
prepped	
and	
draped	
in	
usual	
sterile	
fashion	
and	
the	
tracheostomy	
was	
performed	
first	
.	
We	
then	
turned	
our	
attention	
to	
the	
patient's	
abdomen	
for	
laparoscopic	
gastrostomy	
tube	
placement	
.	
	
We	
began	
by	
gaining	
access	
to	
the	
abdomen	
with	
a	
Veress	
needle	
through	
Palmer's	
point	
.	
	
The	
abdomen	
was	
insufflated	
to	
15	
mmHg	
.	
	
The	
patient	
then	
developed	
significant	
hypotension	
without	
a	
decrease	
in	
end	
tidal	
carbon	
dioxide	
.	
	
We	
partially	
evacuated	
the	
capnoperitoneum	
with	
no	
improvement	
in	
hemodynamic	
status	
.	
	
At	
this	
point,	
we	
rapidly	
inserted	
the	
laparoscope	
which	
showed	
widespread	
hemoperitoneum	
.	
	
We	
were	
unable	
to	
identify	
the	
source	
laparoscopically	
and	
elected	
to	
convert	
to	
an	
open	
procedure	
.	
	
Upon	
opening	
the	
abdomen,	
we	
were	
easily	
able	
to	
identify	
an	
active	
splenic	
hemorrhage;	
the	
splenic	
capsule	
was	
not	
specifically	
noted	
at	
this	
time	
.	
	
The	
spleen	
was	
rapidly	
medialized	
and	
the	
hilum	
was	
controlled	
manually	
with	
an	
immediate	
improvement	
in	
blood	
pressure	
.	
	
The	
spleen	
was	
removed	
using	
a	
GIA	
stapler	
and	
the	
remainder	
of	
the	
abdomen	
was	
inspected	
with	
no	
further	
injury	
noted	
.	
	
The	
patient	
was	
transfused	
two	
units	
of	
packed	
red	
blood	
cells	
and	
taken	
to	
the	
surgical	
intensive	
care	
unit	
.	
	
The	
patient	
recovered	
and	
was	
ultimately	
discharged	
16	
days	
later	
.	
	
Pathology	
report	
of	
the	
spleen	
described	
a	
“capsular	
laceration	
with	
focal	
parenchymal	
hemorrhage”	
—	
this	
is	
approximated	
as	
a	
grade	
1	
splenic	
injury	
according	
to	
the	
AAST-OIS	
splenic	
injury	
scale	
.	
A	
27-year-old	
elite-level	
rugby	
union	
player	
was	
participating	
in	
an	
international	
test	
match	
and	
sustained	
a	
blow	
to	
his	
head	
from	
another	
player's	
knee	
.	
There	
was	
no	
loss	
of	
consciousness	
or	
memory	
loss,	
although	
immediately	
after	
impact	
the	
patient	
reported	
feeling	
confused,	
which	
resolved	
over	
several	
seconds	
.	
He	
continued	
playing	
for	
an	
additional	
15	
min	
before	
alerting	
the	
head	
team	
physician	
(MRS)	
and	
match	
day	
doctor	
(JSA)	
about	
vision	
changes	
in	
his	
right	
eye	
and	
stating	
his	
left	
leg	
was	
“not	
responding	
properly”	
.	
Upon	
sideline	
evaluation,	
his	
neurologic	
exam	
was	
normal	
despite	
the	
patient's	
subjective	
complaints	
.	
However,	
his	
complaint	
of	
neurological	
deﬁcits	
prompted	
immediate	
application	
of	
a	
cervical	
collar	
and	
transport	
to	
the	
nearest	
Level	
1	
trauma	
center	
for	
further	
evaluation	
.	
The	
decision	
for	
transport	
was	
based	
on	
his	
subjective	
neurological	
symptoms	
after	
a	
direct	
blow	
to	
the	
head,	
despite	
a	
normal	
examination	
.	
Upon	
arrival	
to	
the	
emergency	
department	
the	
player	
was	
hemodynamically	
stable	
with	
a	
Glasgow	
Coma	
Scale	
(GCS)	
of	
15	
.	
No	
other	
injuries	
were	
identiﬁed	
.	
His	
medical	
history	
included	
three	
documented	
head	
concussions	
that	
all	
responded	
to	
conservative	
measures	
with	
no	
prolonged	
symptoms,	
he	
had	
no	
other	
known	
head	
trauma	
.	
Additional	
history	
was	
relevant	
for	
minor	
musculoskeletal	
trauma,	
including	
an	
acromioclavicular	
separation,	
but	
no	
other	
medical	
conditions	
or	
co-morbidities	
.	
On	
exam,	
the	
player	
could	
accurately	
recall	
the	
event	
.	
The	
neurological	
motor	
exam	
was	
unremarkable	
in	
all	
four	
extremities,	
including	
his	
left	
lower	
extremity	
.	
He	
had	
intact	
sensation	
to	
light	
touch	
in	
his	
upper	
and	
lower	
extremities	
.	
Pupils	
were	
equal,	
round,	
and	
reactive	
to	
light	
.	
Extraocular	
movements	
and	
cranial	
nerves	
II-XII	
were	
intact	
.	
Emergent	
CT	
scan	
without	
contrast	
identiﬁed	
a	
crescent	
shaped	
extra-axial	
ﬂuid	
collection	
consistent	
with	
a	
subdural	
hematoma	
and	
10	
mm	
midline	
shift	
.	
The	
posterior	
and	
temporal	
horn	
of	
the	
right	
ventricle	
were	
nearly	
completely	
effaced	
.	
The	
posterior	
aspect	
of	
the	
hematoma	
was	
hyperdense,	
consistent	
with	
an	
acute	
bleed,	
while	
the	
anterior	
half	
appeared	
isodense	
with	
the	
cerebral	
cortex	
.	
The	
heterogeneous	
density	
likely	
represents	
unclotted	
blood	
anteriorly,	
but	
could	
also	
reﬂect	
acute	
on	
chronic	
bleeding	
or	
cerebrospinal	
ﬂuid	
extravasation	
into	
the	
subarachnoid	
space	
due	
to	
an	
arachnoid	
laceration	
.	
There	
were	
no	
additional	
lesions	
noted	
.	
The	
hospital's	
neurosurgeon	
was	
immediately	
contacted	
and	
the	
player	
underwent	
an	
emergent	
right	
frontoparietal	
craniotomy	
and	
hematoma	
evacuation	
.	
The	
patient's	
rehabilitation	
course	
included	
inpatient	
and	
outpatient	
physical	
therapy,	
ultimately	
making	
a	
full	
recovery	
without	
any	
neurological	
or	
cognitive	
deﬁcits	
.	
He	
subsequently	
retired	
from	
competitive	
rugby	
and	
has	
become	
a	
coach	
for	
a	
professional	
rugby	
club	
.	
A	
15-year-old	
woman	
was	
diagnosed	
with	
osteogenesis	
imperfecta	
(Sillence	
Type	
I)	
at	
a	
regional	
reference	
pediatric	
hospital	
.	
Although	
a	
genetic	
characterization	
of	
the	
disease	
is	
currently	
underway	
and	
the	
patient	
never	
underwent	
a	
bone	
density	
test,	
she	
expresses	
the	
same	
phenotypic	
traits	
as	
her	
mother,	
who	
suﬀers	
from	
autosomal	
dominant	
OI	
.	
Following	
a	
fall	
from	
a	
chair	
during	
an	
epileptic	
seizure,	
the	
young	
patient	
came	
to	
our	
observation	
.	
Medical	
history	
did	
not	
predict	
any	
other	
fractures	
.	
She	
was	
not	
taking	
bisphosphonates	
before	
the	
injury	
but	
she	
was	
taking	
valproic	
acid	
for	
epilepsy	
.	
On	
physical	
examination	
the	
patient	
had	
blue	
sclera,	
bilateral	
ipoacusia,	
inability	
to	
ambulate,	
and	
absolute	
impossibility	
to	
active	
and	
passive	
motion	
of	
both	
hips	
due	
to	
pain	
.	
The	
imaging	
showed	
acetabular	
fractures,	
which	
were	
