Word,Tag
A,O
64-year-old,O
African,O
American,O
male,O
with,O
unknown,O
past,O
medical,O
history,O
arrived,O
in,O
the,O
trauma,O
bay,O
following,O
a,O
motor,O
vehicle,O
accident.,O
On,O
initial,O
evaluation,B-GOAL
the,O
patient,O
was,O
alert,O
but,O
somewhat,O
confused,O
and,O
had,O
a,O
Glasgow,O
Coma,O
Scale,O
(GCS),O
of,O
13,O
Focused,O
Assessment,O
with,O
Sonography,O
in,O
Trauma,O
(FAST),B-IM
exam,O
was,O
performed,O
immediately,O
following,O
the,O
primary,O
survey,O
and,O
found,O
to,O
be,O
positive,O
in,O
the,O
hepatorenal,B-PI
space.,O
The,O
patient,O
was,O
hemodynamically,O
stable,O
and,O
was,O
taken,O
for,O
further,O
imaging,O
including,O
CT,B-IM
of,O
the,O
head,O
cervical,O
spine,O
chest,O
abdomen,O
and,O
pelvis,O
that,O
revealed,O
multiple,O
injuries,B-PI
including,O
subarachnoid,O
hemorrhage,B-PI
anterior,O
left,O
3rd–8th,O
rib,O
fractures,B-PI
right,O
posterior,O
1st–3rd,O
rib,O
fractures,B-PI
peri-hepatic,O
and,O
peri-splenic,O
hematomas,B-PI
and,O
a,O
left,O
lower,O
quadrant,O
mesenteric,O
hematoma,B-PI
with,O
active,O
extravasation.,O
The,O
patient,O
was,O
admitted,O
to,O
the,O
ICU,O
and,O
underwent,O
conservative,O
man-agement,O
of,O
mesenteric,O
peri-hepatic,O
and,O
peri-splenic,O
hematomas,B-PI
.,O
On,O
hospital,O
day,O
6,O
the,O
patient's,O
mental,O
status,O
began,O
to,O
deteriorate,B-PI
prompting,O
an,O
immediate,O
CT,B-IM
of,O
his,O
head,O
and,O
EEG,B-IM
which,O
were,O
both,O
negative.,O
A,O
repeat,O
CT,B-IM
abdomen,O
and,O
pelvis,O
study,O
was,O
not,O
ordered,O
at,O
this,O
time.,O
The,O
patient,O
was,O
thought,O
to,O
be,O
experiencing,O
post-traumatic,O
encephalopathy,B-PI
and,O
eventually,O
declined,B-PI
to,O
GCS,O
3T.,O
After,O
discussion,O
with,O
family,O
the,O
decision,O
was,O
made,O
to,O
perform,O
tracheostomy,B-SurgicalProcedure
and,O
laparoscopic,O
gastrostomy,B-SurgicalProcedure
tube,O
placement.,O
The,O
patient,O
was,O
prepped,O
and,O
draped,O
in,O
usual,O
sterile,B-SurgicalPrep
fashion,O
and,O
the,O
tracheostomy,B-SurgicalProcedure
was,O
performed,O
first.,O
We,O
then,O
turned,O
our,O
attention,O
to,O
the,O
patient's,O
abdomen,B-SurgicalLocation
for,O
laparoscopic,O
gastrostomy,B-SurgicalProcedure
tube,O
placement,O
.,O
We,O
began,O
by,O
gaining,O
access,O
to,O
the,O
abdomen,B-SurgicalLocation
with,O
a,O
Veress,O
needle,O
through,O
Palmer's,B-SurgicalLocation
point,B-SurgicalLocation
.,O
The,O
abdomen,B-SurgicalLocation
was,O
insufflated,O
to,O
15,O
mmHg.,O
The,O
patient,O
then,O
developed,O
significant,O
hypotension,B-PI
without,O
a,O
decrease,O
in,O
end,O
tidal,O
carbon,O
dioxide.,O
We,O
partially,O
evacuated,O
the,O
capnoperitoneum,O
with,O
no,O
improvement,B-PI
in,O
hemodynamic,O
status.,O
At,O
this,O
point,O
we,O
rapidly,O
inserted,O
the,O
laparoscope,O
which,O
showed,O
widespread,O
hemoperitoneum,B-PI
.,O
We,O
were,O
unable,O
to,O
identify,O
the,O
source,O
laparoscopically,B-SurgicalProcedure
and,O
elected,O
to,O
convert,O
to,O
an,O
open,O
procedure.,O
Upon,O
opening,O
the,O
abdomen,B-SurgicalLocation
we,O
were,O
easily,O
able,O
to,O
identify,O
an,O
active,O
splenic,O
hemorrhage,B-PI
the,O
splenic,O
capsule,O
was,O
not,O
specifically,O
noted,O
at,O
this,O
time.,O
The,O
spleen,B-SurgicalLocation
was,O
rapidly,O
medialized,O
and,O
the,O
hilum,O
was,O
controlled,O
manually,O
with,O
an,O
immediate,O
improvement,B-GOAL
in,O
blood,O
pressure.,O
The,O
spleen,B-SurgicalLocation
was,O
removed,O
using,O
a,O
GIA,O
stapler,O
and,O
the,O
remainder,O
of,O
the,O
abdomen,B-SurgicalLocation
was,O
inspected,O
with,O
no,O
further,O
injury,O
noted.,O
The,O
patient,O
was,O
transfused,B-SurgicalPrep
two,O
units,O
of,O
packed,O
red,O
blood,O
cells,O
and,O
taken,O
to,O
the,O
surgical,O
intensive,O
care,O
unit.,O
The,O
patient,O
recovered,O
and,O
was,O
ultimately,O
discharged,O
16,O
days,O
later.,O
Pathology,O
report,O
of,O
the,O
spleen,O
described,O
a,O
“capsular,O
laceration,O
with,O
focal,O
parenchymal,O
hemorrhage”,B-PI
—,O
this,O
is,O
approximated,O
as,O
a,O
grade,O
1,O
splenic,O
injury,O
according,O
to,O
the,O
AAST-OIS,O
splenic,O
injury,O
scale.,O
A,O
27-year-old,O
elite-level,O
rugby,O
union,O
player,O
was,O
participating,O
in,O
an,O
international,O
test,O
match,O
and,O
sustained,O
a,O
blow,O
to,O
his,O
head,O
from,O
another,O
player's,O
knee.,O
There,O
was,O
no,O
loss,O
of,O
consciousness,O
or,O
memory,O
loss,O
although,O
immediately,O
after,O
impact,O
the,O
patient,O
reported,O
feeling,O
confused,O
which,O
resolved,O
over,O
several,O
seconds.,O
He,O
continued,O
playing,O
for,O
an,O
additional,O
15,O
min,O
before,O
alerting,O
the,O
head,O
team,O
physician,O
(MRS),O
and,O
match,O
day,O
doctor,O
(JSA),O
about,O
vision,O
changes,O
in,O
his,O
right,O
eye,O
and,O
stating,O
his,O
left,O
leg,O
was,O
“not,O
responding,O
properly”.,O
Upon,O
sideline,O
evaluation,B-GOAL
his,O
neurologic,O
exam,O
was,O
normal,O
despite,O
the,O
patient's,O
subjective,O
complaints.,O
However,O
his,O
complaint,O
of,O
neurological,O
deﬁcits,O
prompted,O
immediate,O
application,B-GOAL
of,
a,
cervical,
collar,
and,
transport,
to,
the,
nearest,
Level,
1,
trauma,
center,
for,
further,
evaluation,B-GOAL
.,
The,
decision,
for,
transport,
was,
based,
on,
his,
subjective,
neurological,
symptoms,
after,
a,
direct,
blow,
to,
the,
head,
despite,
a,
normal,
examination,B-GOAL
.,
Upon,
arrival,
to,
the,
emergency,
department,
the,
player,
was,
hemodynamically,
stable,
with,
a,
Glasgow,
Coma,
Scale,
(GCS),
of,
15,
No,
other,
injuries,B-PI
were,
identiﬁed.,
His,
medical,
history,
included,
three,
documented,
head,
concussions,
that,
all,
responded,
to,
conservative,
measures,
with,
no,
prolonged,
symptoms,
he,
had,
no,
other,
known,
head,
trauma.,
Additional,
history,
was,
relevant,
for,
minor,
musculoskeletal,
trauma,
including,
an,
acromioclavicular,
separation,
but,
no,
other,
medical,
conditions,
or,
co-morbidities.,
On,
exam,
the,
player,
could,
accurately,
recall,
the,
event.,
The,
neurological,
motor,
exam,
was,
unremarkable,
in,
all,
four,
extremities,
including,
his,
left,
lower,
extremity.,
He,
had,
intact,
sensation,
to,
light,
touch,
in,
his,
upper,
and,
lower,
extremities.,
Pupils,
were,
equal,
round,
and,
reactive,
to,
light.,
Extraocular,
movements,
and,
cranial,
nerves,
II-XII,
were,
intact.,
Emergent,
CT,B-IM
scan,
without,
contrast,
identiﬁed,
a,
crescent,
shaped,
extra-axial,
ﬂuid,
collection,
consistent,
with,
a,
subdural,
hematoma,B-PI
and,
10,
mm,
midline,
shift.,
The,
posterior,
and,
temporal,
horn,
of,
the,
right,
ventricle,
were,
nearly,
completely,
effaced.,
The,
posterior,
aspect,
of,
the,
hematoma,B-PI
was,
hyperdense,
consistent,
with,
an,
acute,
bleed,
while,
the,
anterior,
half,
appeared,
isodense,
with,
the,
cerebral,
cortex.,
The,
heterogeneous,
density,
likely,
represents,
unclotted,
blood,
anteriorly,
but,
could,
also,
reﬂect,
acute,
on,
chronic,
bleeding,
or,
cerebrospinal,
ﬂuid,
extravasation,
into,
the,
subarachnoid,
space,
due,
to,
an,
arachnoid,
laceration.,
There,
were,
no,
additional,
lesions,
noted.,
The,
hospital's,
neurosurgeon,
was,
immediately,
contacted,
and,
the,
player,
underwent,
an,
emergent,
right,
frontoparietal,
craniotomy,B-SurgicalProcedure
and,
hematoma,B-PI
evacuation.,
The,
patient's,
rehabilitation,
course,
included,
inpatient,
and,
outpatient,
physical,
