Evaluation,On,initial,evaluation,,,,,,,,,,,
Evaluation:T2,,,,,,,,,,,,,,
IMR,positive,in,the,hepatorenal,space.,,,,,,,,,
Goal,further,imaging,,,,,,,,,,,,
IM,CTs,of,the,head,,cervical,spine,,chest,,abdomen,and,pelvis,
IMR,multiple,injuries,,,,,,,,,,,,
IMR,subarachnoid,hemorrhage,,,,,,,,,,,,
IMR,anterior,left,3rd–8th,rib,fractures,,,,,,,,,
IMR,right,posterior,1st–3rd,rib,fractures,,,,,,,,,
IMR,peri-hepatic,and,peri-splenic,hematomas,,,,,,,,,,
IMR,a,left,lower,quadrant,mesenteric,hematoma,with,active,extravasation,,,,,
MedicalImaging,CTs,,,,,,,,,,,,,
MedicalImaging:T17,,,,,,,,,,,,,,
IM,(FAST),exam,,,,,,,,,,,,
PrimaryIssues,alert,but,somewhat,confused,,,,,,,,,,
PrimaryIssues,Glasgow,Coma,Scale,(GCS),of,13,,,,,,,,
MedicalImaging,Focused,Assessment,with,Sonography,in,Trauma,(FAST),exam,was,performed,,,,
MedicalImaging:T4,,,,,,,,,,,,,,
Evaluation,taken,for,further,imaging,,,,,,,,,,
Evaluation:T6,,,,,,,,,,,,,,
PatientTransferred,admitted,to,the,ICU,,,,,,,,,,
PatientTransferred:T8,,,,,,,,,,,,,,
Evaluation,underwent,conservative,man-agement,,,,,,,,,,,
Evaluation:T18,,,,,,,,,,,,,,
Goal,man-agement,of,mesenteric,,peri-hepatic,,and,peri-splenic,hematomas.,,,,,
PrimaryIssues,mental,status,began,to,deteriorate,,,,,,,,,
IM,immediate,CT,,,,,,,,,,,,
IM,EEG,,,,,,,,,,,,,
IMR,both,negative,,,,,,,,,,,,
MedicalImaging,prompting,an,immediate,CT,of,his,head,and,EEG,,,,,
MedicalImaging:T24,,,,,,,,,,,,,,
Diagnosed,thought,to,be,experiencing,post-traumatic,encephalopathy,,,,,,,,
Diagnosed:T25,,,,,,,,,,,,,,
PrimaryIssues,declined,to,GCS,3T,,,,,,,,,,
SurgicalIntervention,perform,tracheostomy,and,laparoscopic,gastrostomy,tube,placement.,,,,,,,
SurgicalIntervention:T27,,,,,,,,,,,,,,
SurgicalProcedure,tracheostomy,,,,,,,,,,,,,
SurgicalProcedure,laparoscopic,gastrostomy,tube,placement,,,,,,,,,,
SurgicalIntervention,prepped,and,draped,in,usual,sterile,fashion,,,,,,,
SurgicalIntervention:T30,,,,,,,,,,,,,,
SurgicalPreparation,prepped,,,,,,,,,,,,,
SurgicalPreparation,draped,,,,,,,,,,,,,
SurgicalDiscussion,tracheostomy,was,performed,first,,,,,,,,,,
SurgicalLocation,abdomen,,,,,,,,,,,,,
SurgicalProcedure,laparoscopic,gastrostomy,tube,placement,,,,,,,,,,
SurgicalIntervention,patient's,abdomen,for,laparoscopic,gastrostomy,tube,placement,,,,,,,
SurgicalIntervention:T36,,,,,,,,,,,,,,
SurgicalIntervention,gaining,access,to,the,abdomen,with,a,Veress,needle,through,Palmer's,point,,
SurgicalIntervention:T37,,,,,,,,,,,,,,
SurgicalDiscussion,gaining,access,,,,,,,,,,,,
SurgicalLocation,abdomen,,,,,,,,,,,,,
SurgicalLocation,Palmer's,point.,,,,,,,,,,,,
SurgicalIntervention,insufflated,,,,,,,,,,,,,
SurgicalIntervention:T41,,,,,,,,,,,,,,
PrimaryIssues,developed,significant,hypotension,,,,,,,,,,,
PrimaryIssues,without,a,decrease,in,end,tidal,carbon,dioxide,,,,,,
Evaluation,developed,significant,hypotension,without,a,decrease,in,end,tidal,carbon,dioxide,,,
Evaluation:T44,,,,,,,,,,,,,,
SurgicalIntervention,partially,evacuated,the,capnoperitoneum,with,no,improvement,in,hemodynamic,status,,,,
SurgicalIntervention:T45,,,,,,,,,,,,,,
SurgicalProcedure,partially,evacuated,,,,,,,,,,,,
SurgicalLocation,capnoperitoneum,,,,,,,,,,,,,
PrimaryIssues,no,improvement,in,hemodynamic,status,,,,,,,,,
SurgicalIntervention,apidly,inserted,the,laparoscope,which,showed,widespread,hemoperitoneum,,,,,,
SurgicalIntervention:T49,,,,,,,,,,,,,,
SurgicalProcedure,laparoscope,,,,,,,,,,,,,
PrimaryIssues,widespread,hemoperitoneum.,,,,,,,,,,,,
PrimaryIssues,unable,to,identify,the,source,laparoscopically,,,,,,,,
Goal,elected,to,convert,to,an,open,procedure,,,,,,,
Evaluation,unable,to,identify,the,source,laparoscopically,and,elected,to,convert,to,an,open,procedure
Evaluation:T54,,,,,,,,,,,,,,
SurgicalProcedure,opening,,,,,,,,,,,,,
SurgicalLocation,abdomen,,,,,,,,,,,,,
SurgicalIntervention,opening,the,abdomen,,,,,,,,,,,
SurgicalIntervention:T57,,,,,,,,,,,,,,
Evaluation,able,to,identify,an,active,splenic,hemorrhage,,,,,,,
Evaluation:T58,,,,,,,,,,,,,,
PrimaryIssues,active,splenic,hemorrhage,,,,,,,,,,,
SurgicalIntervention,spleen,was,rapidly,medialized,and,the,hilum,was,controlled,manually,,,,
SurgicalIntervention:T60,,,,,,,,,,,,,,
SurgicalLocation,spleen,,,,,,,,,,,,,
SurgicalProcedure,rapidly,medialized,,,,,,,,,,,,
SurgicalLocation,hilum,,,,,,,,,,,,,
SurgicalProcedure,controlled,manually,,,,,,,,,,,,
SurgicalIntervention,spleen,was,removed,using,a,GIA,stapler,,,,,,,
SurgicalIntervention:T65,,,,,,,,,,,,,,
SurgicalLocation,spleen,,,,,,,,,,,,,
SurgicalProcedure,removed,,,,,,,,,,,,,
SurgicalDiscussion,using,a,GIA,stapler,,,,,,,,,,
Evaluation,the,remainder,of,the,abdomen,was,inspected,,,,,,,
Evaluation:T69,,,,,,,,,,,,,,
SurgicalIntervention,transfused,two,units,of,packed,red,blood,cells,,,,,,
SurgicalIntervention:T70,,,,,,,,,,,,,,
PatientTransferred,taken,to,the,surgical,intensive,care,unit,,,,,,,
PatientTransferred:T71,,,,,,,,,,,,,,
Recovered,patient,recovered,,,,,,,,,,,,
Recovered:T72,,,,,,,,,,,,,,
Discharged,discharged,16,days,later,,,,,,,,,,
Discharged:T73,,,,,,,,,,,,,,
PathologyReport,capsular,laceration,with,focal,parenchymal,hemorrhage,,,,,,,,
