B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
null,null,100295,null,null
Trauma,null,null,null,null
hematoma,null,null,null,null
null,R.,null,null,null
null,null,null,null,Surgery
null,null,Osteopathic,null,null
hematoma,null,null,null,null
trauma,null,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
neurosurgeon,null,null,null,null
hematoma,null,null,null,null
hemorrhage,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
hematomas,null,null,null,null
hematoma,null,null,null,null
injuries,null,null,null,null
hematoma,null,null,null,null
ensure,null,null,null,null
trauma,null,null,null,null
loss,null,null,null,null
null,evaluation,null,null,null
null,application,null,null,null
trauma,null,null,null,null
null,evaluation,null,null,null
null,examination,null,null,null
null,null,null,null,Surgery
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,100295,null,null
null,imaging,null,null,null
swelling,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
hyperdense,null,null,null,null
extravasation,null,null,null,null
lesions,null,null,null,null
null,null,null,null,craniotomy
hematoma,null,null,null,null
null,therapy,null,null,null
hematomas,null,null,null,null
hemorrhage,null,null,null,null
hematomas,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
trauma,null,null,null,null
hematoma,null,null,null,null
deterioration,null,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
hematomas,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
treated,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
hematoma,null,null,null,null
loss,null,null,null,null
vomiting,null,null,null,null
Trauma,null,null,null,null
null,null,100295,null,null
dizziness,null,null,null,null
deterioration,null,null,null,null
beginning,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hematoma,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,imaging,null,null,null
hematoma,null,null,null,null
injuries,null,null,null,null
null,null,US,null,null
null,R.,null,null,null
R.C.,null,null,null,null
injury,null,null,null,null
fatalities,null,null,null,null
Neurosurgery,null,null,null,null
R.P.,null,null,null,null
null,null,S.C.,null,null
hematoma,null,null,null,null
null,reduction,null,null,null
N.,null,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
Neurosurgery,null,null,null,null
injuries,null,null,null,null
R.C.,null,null,null,null
injuries,null,null,null,null
null,null,S.P.,null,null
injuries,null,null,null,null
null,51–73,null,null,null
null,null,S.P.,null,null
injuries,null,null,null,null
null,J.P.,null,null,null
injuries,null,null,null,null
R.C.,null,null,null,null
null,null,S.B.,null,null
null,null,Catastrophic,null,null
injuries,null,null,null,null
