B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
null,null,(2015),null,null
Trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,R.,null,null,null
null,null,2747,null,null
Trauma,null,null,null,null
injury,null,null,null,null
pain,null,null,null,null
injury,null,null,null,null
null,null,(ERCP),null,null
null,null,BY,null,null
injury,null,null,null,null
pain,null,null,null,null
trauma,null,null,null,null
tachycardic,null,null,null,null
null,null,Sonography,null,null
Trauma,null,null,null,null
null,null,(FAST),null,null
Gratian.Punch@gmail.com,null,null,null,null
null,null,2352,null,null
Trauma,null,null,null,null
null,observation,null,null,null
null,null,FAST,null,null
null,observation,null,null,null
pain,null,null,null,null
null,null,FAST,null,null
null,null,(CT),null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
Injury,null,null,null,null
injury,null,null,null,null
contusion,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
pain,null,null,null,null
null,imaging,null,null,null
null,null,(MRCP),null,null
null,null,CT,null,null
null,null,ERCP,null,null
null,null,ERCP,null,null
extravasation,null,null,null,null
null,null,MRCP,null,null
transection,null,null,null,null
oedema,null,null,null,null
null,null,ERCP,null,null
null,removal,null,null,null
null,null,ERCP,null,null
extravasation,null,null,null,null
injury,null,null,null,null
Injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
transection,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,null,ERCP,null,null
extravasation,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
null,null,MRCP,null,null
null,imaging,null,null,null
null,null,ERCP,null,null
null,Management,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
null,management,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
null,null,ERCP,null,null
patent,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,observation,null,null,null
null,imaging,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
null,management,null,null,null
null,null,2012,null,null
O.,null,null,null,null
trauma,null,null,null,null
J.L.,null,null,null,null
null,null,S.L.,null,null
null,management,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,Today,null,null
null,null,ERCP,null,null
trauma,null,null,null,null
1204–1210,null,null,null,null
336–340,null,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
L.C.,null,null,null,null
null,Management,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
P.C.,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
null,J.P.,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
null,null,2007,null,null
P.B.,null,null,null,null
P.,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
823–827,null,null,null,null
