B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
8–12,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,bypass
D.,null,null,null,null
null,R.,null,null,null
null,null,CA,null,null
Trauma,null,null,null,null
injuries,null,null,null,null
highly,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,Management,null,null,null
depend,null,null,null,null
injury,null,null,null,null
null,therapy,null,null,null
trauma,null,null,null,null
null,null,null,null,bypass
injuries,null,null,null,null
highly,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,Management,null,null,null
depend,null,null,null,null
injury,null,null,null,null
null,observation,null,null,null
null,therapy,null,null,null
trauma,null,null,null,null
null,null,null,null,bypass
null,management,null,null,null
hypotension,null,null,null,null
null,null,radiographs,null,null
null,null,CT,null,null
null,imaging,null,null,null
fractures,null,null,null,null
injury,null,null,null,null
extravasation,null,null,null,null
hematoma,null,null,null,null
null,null,null,general,null
null,null,null,anesthesia,null
null,null,aortography,null,null
injury,null,null,null,null
null,null,null,null,Surgery
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
8–12,null,null,null,null
Trauma,null,null,null,null
8–12,null,null,null,null
null,null,CT,null,null
null,null,angiogram,null,null
extravasation,null,null,null,null
null,null,Angiogram,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
patent,null,null,null,null
ischemia,null,null,null,null
null,null,null,null,bypass
null,closure,null,null,null
leak,null,null,null,null
null,null,ERCP,null,null
null,null,null,null,cyst-gastrotomy
pneumonia,null,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
Trauma,null,null,null,null
8–12,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
Injury,null,null,null,null
average,null,null,null,null
Injury,null,null,null,null
disruption,null,null,null,null
pseudoaneurysm,null,null,null,null
injuries,null,null,null,null
null,null,null,null,surgery
null,management,null,null,null
disruption,null,null,null,null
null,null,null,null,bypass
disruption,null,null,null,null
null,null,CA,null,null
pseudoaneurysm,null,null,null,null
null,transitioned,null,null,null
null,management,null,null,null
injuries,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
null,Management,null,null,null
depend,null,null,null,null
injury,null,null,null,null
null,null,null,null,bypass
null,therapy,null,null,null
null,observation,null,null,null
null,management,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
dissections,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
rupture,null,null,null,null
pseudoaneurysm,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
lesion,null,null,null,null
injuries,null,null,null,null
hemorrhagic,null,null,null,null
collateral,null,null,null,null
null,null,null,null,bypass
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,management,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
null,null,null,null,surgery
ischemia,null,null,null,null
null,null,null,null,bypass
Injuries,null,null,null,null
null,null,null,null,Surgery
injury,null,null,null,null
783–785,null,null,null,null
D.,null,null,null,null
D.,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
P.,null,null,null,null
injuries,null,null,null,null
P.,null,null,null,null
null,learned,null,null,null
null,management,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
8–12,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
A.A.,null,null,null,null
D.,null,null,null,null
trauma,null,null,null,null
D.,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,Treatment,null,null,null
null,null,T.P.,null,null
Injury,null,null,null,null
null,null,(2012,null,null
trauma,null,null,null,null
trauma,null,null,null,null
