B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
null,null,null,null,Surgery
Notre,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
lesion,null,null,null,null
trauma,null,null,null,null
null,treatment,null,null,null
null,null,BY-NC,null,null
null,management,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,null,Ultrasound,null,null
null,null,CT,null,null
distended,null,null,null,null
null,null,null,null,laparotomy
null,management,null,null,null
pain,null,null,null,null
vomiting,null,null,null,null
86.1,null,null,null,null
null,null,null,null,Surgery
Notre,null,null,null,null
null,http://dx.doi.org/10.1016/j.tcr.2017.05.004,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,ultrasound,null,null
null,null,CT,null,null
dilated,null,null,null,null
null,MRI,null,null,null
null,null,cholangiography,null,null
null,null,null,null,laparotomy
null,null,null,null,cholecystectomy
trauma,null,null,null,null
pain,null,null,null,null
null,MRI,null,null,null
null,null,cholangiography,null,null
hematoma,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,laparotomy
null,null,null,null,cholecystectomy
null,null,null,null,surgery
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
distended,null,null,null,null
injuries,null,null,null,null
contusion,null,null,null,null
Contusion,null,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
lesions,null,null,null,null
injury,null,null,null,null
null,null,2012,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
null,null,null,null,laparotomy
null,null,null,null,tectomy
null,diagnosis,null,null,null
null,null,Ultrasound,null,null
null,null,CT,null,null
null,MRI,null,null,null
null,drainage,null,null,null
null,null,cholecystography,null,null
null,null,null,null,cholecystectomy
null,treatment,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
null,null,null,null,surgery
question,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,null,null,Cholecystectomy
null,treatment,null,null,null
injuries,null,null,null,null
null,R.,null,null,null
D.,null,null,null,null
null,Treatment,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,(2012,null,null
N.,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,null,41–42,null,null
trauma,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
R.A.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
F.,null,null,null,null
trauma,null,null,null,null
