B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
P.,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
dizziness,null,null,null,null
nausea,null,null,null,null
swelling,null,null,null,null
null,null,ultrasound,null,null
tenderness,null,null,null,null
distension,null,null,null,null
null,null,(CT),null,null
fractures,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
null,null,null,null,laparotomy
injuries,null,null,null,null
null,management,null,null,null
fractures,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,applied,null,null,null
injuries,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
distended,null,null,null,null
rupture,null,null,null,null
distended,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,imaging,null,null,null
null,null,CT,null,null
extravasation,null,null,null,null
null,null,CT,null,null
Trauma,null,null,null,null
haemorrhage,null,null,null,null
haemorrhage,null,null,null,null
extravasation,null,null,null,null
rupture,null,null,null,null
null,null,CT,null,null
rupture,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
null,null,null,null,laparotomy
null,null,ultrasound,null,null
null,null,null,null,cholecystectomy
null,management,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,null,SF,null,null
null,null,null,null,cholecystectomy
Trauma,null,null,null,null
injury,null,null,null,null
null,R.,null,null,null
F.,null,null,null,null
D.,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
O.,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
R.A.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,R.,null,null,null
null,Management,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
