B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
fractures,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
fractures,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
highly,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
fractures,null,null,null,null
null,Uttam,null,null,null
null,M.J.,null,null,null
null,R.,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
pain,null,null,null,null
restricted,null,null,null,null
null,null,(CT),null,null
fractures,null,null,null,null
fracture,null,null,null,null
null,null,CT,null,null
hemorrhage,null,null,null,null
null,null,CT,null,null
null,treatment,null,null,null
hemorrhage,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
fractures,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
loss,null,null,null,null
injury,null,null,null,null
mechanisms,null,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
edema,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
edema,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
mechanisms,null,null,null,null
injuries,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
direction,null,null,null,null
injuries,null,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
Trauma,null,null,null,null
G.A.,null,null,null,null
R.A.,null,null,null,null
null,H.G.,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
null,R.,null,null,null
injuries,null,null,null,null
lesions,null,null,null,null
edema,null,null,null,null
injury,null,null,null,null
1248–1250,null,null,null,null
injuries,null,null,null,null
null,M.J.,null,null,null
N.,null,null,null,null
parenchyma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injured,null,null,null,null
null,R.,null,null,null
injury,null,null,null,null
349–351,null,null,null,null
