B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
fractures,null,null,null,null
Neurosurgery,null,null,null,null
null,null,null,null,Surgery
fracture,null,null,null,null
fractures,null,null,null,null
trauma,null,null,null,null
null,frac-,null,null,null
null,null,null,null,hemostasis
injuries,null,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,null,null,null,hemostasis
hematoma,null,null,null,null
fracture,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
injury,null,null,null,null
loss,null,null,null,null
null,frac-,null,null,null
impaired,null,null,null,null
null,reduction,null,null,null
fracture,null,null,null,null
null,null,null,null,hemostasis
injury,null,null,null,null
null,Reduction,null,null,null
fractures,null,null,null,null
Neurosurgery,null,null,null,null
R3A1R9,null,null,null,null
ckazina@exchange.hsc.mb.ca,null,null,null,null
Neurosurgery,null,null,null,null
R3A1R9,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,null,null,hemostasis
injuries,null,null,null,null
null,null,BY-NC,null,null
fractures,null,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
leak,null,null,null,null
fractures,null,null,null,null
direction,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
Fractures,null,null,null,null
fracture,null,null,null,null
injuries,null,null,null,null
hematomas,null,null,null,null
hematomas,null,null,null,null
injuries,null,null,null,null
lesions,null,null,null,null
fractures,null,null,null,null
tion,null,null,null,null
injuries,null,null,null,null
null,null,null,null,hemostasis
fracture,null,null,null,null
hemorrhage,null,null,null,null
fracture,null,null,null,null
hematoma,null,null,null,null
injuries,null,null,null,null
null,null,hemo-,null,null
stasis,null,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
injury,null,null,null,null
null,stabilized,null,null,null
hypotension,null,null,null,null
hypoxia,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,evaluation,null,null,null
dilated,null,null,null,null
null,null,(CT),null,null
null,null,CT,null,null
hematoma,null,null,null,null
herniation,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
injuries,null,null,null,null
null,null,CT,null,null
null,examination,null,null,null
dilated,null,null,null,null
null,ventilator,null,null,null
pCO2,null,null,null,null
null,null,CT,null,null
null,null,angiography,null,null
injuries,null,null,null,null
null,null,null,general,null
null,null,null,anesthesia,null
trauma,null,null,null,null
question,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,null,CT,null,null
herniation,null,null,null,null
edema,null,null,null,null
hemorrhage,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
hematoma,null,null,null,null
hemorrhage,null,null,null,null
fracture,null,null,null,null
null,null,null,null,Hemostasis
injury,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
null,repair,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
loss,null,null,null,null
null,transfusion,null,null,null
hypotension,null,null,null,null
hemorrhage,null,null,null,null
null,reduction,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,applied,null,null,null
reduc-,null,null,null,null
tion,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
null,reduction,null,null,null
Hemorrhage,null,null,null,null
null,applied,null,null,null
fracture,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,null,CT,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
gage,null,null,null,null
monitor,null,null,null,null
null,therapy,null,null,null
null,null,CT,null,null
ischemia,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
fractures,null,null,null,null
injuries,null,null,null,null
null,null,null,null,hemostasis
injuries,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,null,CT,null,null
null,Reduction,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,null,null,null,hemostasis
null,reduction,null,null,null
injury,null,null,null,null
null,reduction,null,null,null
null,null,null,null,hemostasis
null,applied,null,null,null
null,repair,null,null,null
injury,null,null,null,null
null,null,null,null,hemostasis
fracture,null,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
fracture,null,null,null,null
null,null,null,null,hemostasis
null,reduction,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
null,null,null,null,hemostasis
ischemia,null,null,null,null
injuries,null,null,null,null
achieving,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,null,CT,null,null
herniation,null,null,null,null
edema,null,null,null,null
null,null,CT,null,null
contusions,null,null,null,null
hematoma,null,null,null,null
ischemia,null,null,null,null
Trauma,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
ischemia,null,null,null,null
null,imaging,null,null,null
null,Reduction,null,null,null
fractures,null,null,null,null
null,null,null,null,hemostasis
injuries,null,null,null,null
null,treatment,null,null,null
injuries,null,null,null,null
N.,null,null,null,null
null,R.,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
null,null,(2012),null,null
Asha'Ari,null,null,null,null
null,R.,null,null,null
N.,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
Asha'ari,null,null,null,null
null,R.,null,null,null
R.A.,null,null,null,null
N.,null,null,null,null
hemorrhage,null,null,null,null
fracture,null,null,null,null
null,null,(2012),null,null
