B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Neurosurgery,null,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
null,observation,null,null,null
ensure,null,null,null,null
null,observation,null,null,null
res-,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
hypertension,null,null,null,null
hyperlipidemia,null,null,null,null
null,evaluation,null,null,null
fractures,null,null,null,null
abrasions,null,null,null,null
ecchymosis,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
Trauma,null,null,null,null
LA,null,null,null,null
null,N.S.,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,stabilized,null,null,null
null,null,BP,null,null
trauma,null,null,null,null
injuries,null,null,null,null
etomidate,null,null,null,null
null,drainage,null,null,null
null,transfusion,null,null,null
null,null,echocardiography,null,null
null,null,echocardiogram,null,null
hematoma,null,null,null,null
worsen,null,null,null,null
resuscitate,null,null,null,null
polytrauma,null,null,null,null
null,management,null,null,null
null,formulation,null,null,null
null,observation,null,null,null
pertinent,null,null,null,null
ensure,null,null,null,null
injuries,null,null,null,null
mechanisms,null,null,null,null
instances,null,null,null,null
loss,null,null,null,null
donations,null,null,null,null
Trauma,null,null,null,null
loss,null,null,null,null
loss,null,null,null,null
revisited,null,null,null,null
P.,null,null,null,null
L.,null,null,null,null
null,R.,null,null,null
donor,null,null,null,null
K.N.,null,null,null,null
J.L.,null,null,null,null
paradigm,null,null,null,null
null,‘,null,null,null
null,’,null,null,null
P.,null,null,null,null
injury,null,null,null,null
Moss,null,null,null,null
