B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
null,R.,null,null,null
O.,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
null,null,null,null,Surgery
injury,null,null,null,null
injury,null,null,null,null
herniation,null,null,null,null
null,null,(CT),null,null
injuries,null,null,null,null
injuries,null,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
null,exploration,null,null,null
injury,null,null,null,null
healthy,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
tachycardic,null,null,null,null
null,null,sonography,null,null
trauma,null,null,null,null
null,null,(FAST),null,null
null,null,CT,null,null
extravasation,null,null,null,null
edema,null,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
extravasation,null,null,null,null
null,null,CT,null,null
tenderness,null,null,null,null
null,null,null,null,laparotomy
hemoperitoneum,null,null,null,null
hemorrhage,null,null,null,null
transection,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hernia,null,null,null,null
null,null,CT,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
pre-,null,null,null,null
Trauma,null,null,null,null
null,null,1053,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
injuries,null,null,null,null
null,null,photographs,null,null
injuries,null,null,null,null
healthy,null,null,null,null
null,null,null,null,bypass
hypotension,null,null,null,null
pain,null,null,null,null
null,examination,null,null,null
null,null,CT,null,null
injury,null,null,null,null
injuries,null,null,null,null
pain,null,null,null,null
null,reduction,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
ischemia,null,null,null,null
null,null,null,null,laparotomy
null,closure,null,null,null
hernia,null,null,null,null
injuries,null,null,null,null
null,null,CT,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,diagnosis,null,null,null
ecchymosis,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,null,null,null,laparotomy
hernia,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
injuries,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
null,management,null,null,null
null,imaging,null,null,null
null,null,C.C.,null,null
D.,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,EAST,null,null
Trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,null,(2012),null,null
678–693,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
B.L.,null,null,null,null
null,null,Murphy,null,null
null,J.P.,null,null,null
L.,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
69–75,null,null,null,null
K.S.,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
N.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
null,null,T.S.,null,null
disruption,null,null,null,null
herniation,null,null,null,null
injury,null,null,null,null
null,531–539,null,null,null
P.,null,null,null,null
P.,null,null,null,null
injury,null,null,null,null
