B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,cyst,null,null,null
foreign,null,null,null,null
Foreign,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
null,null,cyst-like,null,null
swelling,null,null,null,null
lesion,null,null,null,null
null,cyst,null,null,null
cyst,null,null,null,null
null,explosion,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
ves-,null,null,null,null
rupture,null,null,null,null
lesion,null,null,null,null
null,cyst,null,null,null
null,cyst,null,null,null
null,examination,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
foreign,null,null,null,null
null,null,null,anesthesia,null
lesion,null,null,null,null
lesion,null,null,null,null
null,null,cyst-like,null,null
null,drainage,null,null,null
ruptured,null,null,null,null
null,null,cyst-like,null,null
null,cyst,null,null,null
null,lining,null,null,null
hemorrhage,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
null,null,cyst-like,null,null
foreign,null,null,null,null
injury,null,null,null,null
explosion,null,null,null,null
foreign,null,null,null,null
infection,null,null,null,null
foreign,null,null,null,null
lesions,null,null,null,null
lesions,null,null,null,null
examples,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
Trauma,null,null,null,null
null,null,Photomicrograph,null,null
hemorrhage,null,null,null,null
null,null,Photomicrograph,null,null
null,lining,null,null,null
lesion,null,null,null,null
foreign,null,null,null,null
Pain,null,null,null,null
null,cyst,null,null,null
null,diagnosis,null,null,null
lesions,null,null,null,null
null,cyst,null,null,null
lesions,null,null,null,null
null,cyst,null,null,null
null,cyst,null,null,null
tumor,null,null,null,null
excluded,null,null,null,null
null,null,Radiographic,null,null
null,examination,null,null,null
null,examination,null,null,null
foreign,null,null,null,null
lesion,null,null,null,null
foreign,null,null,null,null
Trauma,null,null,null,null
null,null,Photomicrograph,null,null
foreign,null,null,null,null
Foreign,null,null,null,null
foreign,null,null,null,null
null,lining,null,null,null
foreign,null,null,null,null
materials,null,null,null,null
trauma,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
null,cyst,null,null,null
null,cyst,null,null,null
foreign,null,null,null,null
null,treatment,null,null,null
null,cyst,null,null,null
entities,null,null,null,null
null,null,Radiographic,null,null
null,examination,null,null,null
foreign,null,null,null,null
null,cyst,null,null,null
null,null,S.C.,null,null
Foreign,null,null,null,null
foreign,null,null,null,null
105–110,null,null,null,null
D.,null,null,null,null
Foreign,null,null,null,null
tumor,null,null,null,null
null,null,Brogdon,null,null
P.,null,null,null,null
D.,null,null,null,null
null,cyst,null,null,null
J.L.,null,null,null,null
foreign,null,null,null,null
L.M.,null,null,null,null
Trauma,null,null,null,null
null,null,MBBS,null,null
null,null,MD,null,null
null,null,MBBS,null,null
F.,null,null,null,null
null,repair,null,null,null
null,null,(2002),null,null
injury,null,null,null,null
R.J.,null,null,null,null
lesion,null,null,null,null
null,R.,null,null,null
433–438,null,null,null,null
