B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
hernia,null,null,null,null
null,null,null,null,Surgery
hernia,null,null,null,null
injury,null,null,null,null
hernia,null,null,null,null
null,treatment,null,null,null
hernia,null,null,null,null
herniation,null,null,null,null
hernia,null,null,null,null
injuries,null,null,null,null
null,null,radiography,null,null
hernia,null,null,null,null
null,null,null,null,Surgery
hernia,null,null,null,null
null,treatment,null,null,null
hernia,null,null,null,null
her-,null,null,null,null
trauma,null,null,null,null
hernia,null,null,null,null
injuries,null,null,null,null
herniation,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
null,null,null,null,thoracotomy
trauma,null,null,null,null
null,null,radiography,null,null
null,null,(CT),null,null
thorax,null,null,null,null
effusion,null,null,null,null
null,null,null,null,thoracotomy
null,null,null,general,null
null,null,null,anesthesia,null
null,repaired,null,null,null
null,null,null,null,Surgery
null,HeBei,null,null,null
null,null,2352,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,CT,null,null
thorax,null,null,null,null
effusion,null,null,null,null
null,null,CT,null,null
Trauma,null,null,null,null
null,null,null,null,surgery
hernia,null,null,null,null
injury,null,null,null,null
pre-,null,null,null,null
null,repair,null,null,null
rupture,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
contusion,null,null,null,null
effusion,null,null,null,null
tion,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
hernia,null,null,null,null
null,null,CT,null,null
null,reconstruction,null,null,null
null,imaging,null,null,null
null,MRI,null,null,null
lesion,null,null,null,null
null,null,laparoscopy,null,null
hernia,null,null,null,null
rupture,null,null,null,null
null,application,null,null,null
effusion,null,null,null,null
null,observation,null,null,null
hernia,null,null,null,null
null,Repair,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
null,treatment,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
null,treatment,null,null,null
transabdominal,null,null,null,null
null,repair,null,null,null
hernia,null,null,null,null
null,null,null,null,surgery
injuries,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
null,null,null,null,surgery
null,repair,null,null,null
materials,null,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
null,exploration,null,null,null
null,repair,null,null,null
Trauma,null,null,null,null
A.I.,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
F.,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
W.B.,null,null,null,null
hernia,null,null,null,null
F.,null,null,null,null
Canto,null,null,null,null
Thorax,null,null,null,null
hernia,null,null,null,null
injury,null,null,null,null
R.J.,null,null,null,null
null,null,Laparoscopy,null,null
null,evaluation,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
