B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
oxygenation,null,null,null,null
null,null,null,null,Surgery
null,null,VA,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
thoracot-,null,null,null,null
null,null,null,null,thoracotomy
haemorrhage,null,null,null,null
null,repaired,null,null,null
cannulation,null,null,null,null
null,repair,null,null,null
null,null,BY-NC,null,null
oxygenation,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,evaluation,null,null,null
null,null,null,null,pericardiotomy
null,null,null,null,Surgery
P.O.,null,null,null,null
null,null,VA,null,null
null,null,23298,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
N.,null,null,null,null
Trauma,null,null,null,null
Haemorrhage,null,null,null,null
null,null,null,null,ventriculotomy
null,null,null,null,thoracotomy
null,identiﬁcation,null,null,null
injury,null,null,null,null
null,null,null,null,ventriculotomy
null,null,CT,null,null
null,null,angiogram,null,null
null,repair,null,null,null
N.,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
null,null,null,null,atriotomies
null,repair,null,null,null
null,null,null,null,ventriculotomy
injury,null,null,null,null
null,null,null,null,ventriculotomy
null,repaired,null,null,null
tion,null,null,null,null
cannulation,null,null,null,null
null,null,null,null,surgery
null,therapy,null,null,null
null,null,CSICU,null,null
null,null,CSICU,null,null
null,stabilised,null,null,null
permit,null,null,null,null
null,null,CT,null,null
null,evaluation,null,null,null
injuries,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
null,repair,null,null,null
null,repair,null,null,null
null,repaired,null,null,null
null,null,A3–P3,null,null
null,null,null,null,atriotomies
null,null,null,null,bypass
appar-,null,null,null,null
pneumonia,null,null,null,null
hypotension,null,null,null,null
transitioned,null,null,null,null
N.,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,thoracotomy
injury,null,null,null,null
null,management,null,null,null
null,repair,null,null,null
injuries,null,null,null,null
ensure,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
induction,null,null,null,null
null,null,null,null,surgery
null,null,null,null,bypass
trauma,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
haemorrhage,null,null,null,null
trauma,null,null,null,null
tions,null,null,null,null
R.B.,null,null,null,null
R.H.,null,null,null,null
null,null,Stansbury,null,null
trauma,null,null,null,null
D.,null,null,null,null
L.,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
null,evaluation,null,null,null
Trauma,null,null,null,null
Sagrati,null,null,null,null
null,R.,null,null,null
oxygenation,null,null,null,null
Injury,null,null,null,null
J.L.,null,null,null,null
N.,null,null,null,null
null,null,null,null,null
N.,null,null,null,null
trauma,null,null,null,null
null,null,(MD),null,null
N.,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
