B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
parenchymal,null,null,null,null
injuries,null,null,null,null
null,imaging,null,null,null
injury,null,null,null,null
parenchymal,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
parenchymal,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,diagnosis,null,null,null
trauma,null,null,null,null
pain,null,null,null,null
abrasions,null,null,null,null
vomiting,null,null,null,null
pain,null,null,null,null
haematuria,null,null,null,null
null,examination,null,null,null
null,null,hemogram,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
null,null,null,null,K.
Trauma,null,null,null,null
null,null,CECT,null,null
null,null,ultrasound,null,null
null,null,X ray chest,null,null
null,null,CT,null,null
null,collateral,null,null,null
parenchymal,null,null,null,null
injury,null,null,null,null
intervals,null,null,null,null
intervals,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
parenchymal,null,null,null,null
injury,null,null,null,null
haematuria,null,null,null,null
nausea,null,null,null,null
vomiting,null,null,null,null
haematuria,null,null,null,null
pain,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,null,CECT,null,null
null,null,null,null,K.
Trauma,null,null,null,null
null,null,CECT,null,null
null,Treatment,null,null,null
null,therapy,null,null,null
null,therapy,null,null,null
null,propagation,null,null,null
null,null,null,null,nephrectomy
haematuria,null,null,null,null
hypertension,null,null,null,null
haematuria,null,null,null,null
trauma,null,null,null,null
null,therapy,null,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,diagnosis,null,null,null
pre-,null,null,null,null
null,S.J.,null,null,null
O.,null,null,null,null
null,null,(2012),null,null
null,R.,null,null,null
O.,null,null,null,null
trauma,null,null,null,null
null,R.,null,null,null
O.,null,null,null,null
trauma,null,null,null,null
G.Y.,null,null,null,null
P.,null,null,null,null
Preate,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,K.
null,null,C.C.,null,null
null,null,angiography,null,null
null,null,null,null,K.
null,C.H.,null,null,null
null,C.H.,null,null,null
null,treatment,null,null,null
null,null,null,null,K.
Trauma,null,null,null,null
null,null,null,null,thrombectomy
null,null,S.I.,null,null
null,treatment,null,null,null
