B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
null,cyst,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,null,null,Splenectomy
null,null,null,null,Surgery
rupture,null,null,null,null
null,cyst,null,null,null
trauma,null,null,null,null
ruptured,null,null,null,null
null,cyst,null,null,null
null,null,CT,null,null
null,null,null,null,laparotomy
lesions,null,null,null,null
pain,null,null,null,null
rupture,null,null,null,null
null,null,cyst,null,null
rupture,null,null,null,null
null,null,cyst,null,null
rupture,null,null,null,null
null,cyst,null,null,null
Trauma,null,null,null,null
null,null,BY-NC,null,null
null,null,2352,null,null
Trauma,null,null,null,null
healthy,null,null,null,null
null,examination,null,null,null
distended,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
null,null,(CT),null,null
lesion,null,null,null,null
heterogeneously,null,null,null,null
hemorrhage,null,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
hyperdense,null,null,null,null
null,null,CT,null,null
null,null,null,null,laparotomy
hemoperitoneum,null,null,null,null
ruptured,null,null,null,null
null,null,cyst,null,null
injuries,null,null,null,null
null,exploration,null,null,null
null,examination,null,null,null
null,cyst,null,null,null
parenchyma,null,null,null,null
null,cyst,null,null,null
null,hemagglutination,null,null,null
null,management,null,null,null
pain,null,null,null,null
dyspepsia,null,null,null,null
rupture,null,null,null,null
Rupture,null,null,null,null
null,cyst,null,null,null
trauma,null,null,null,null
hemorrhage,null,null,null,null
null,cyst,null,null,null
pseudoaneurysm,null,null,null,null
Trauma,null,null,null,null
ruptured,null,null,null,null
null,cyst,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,cyst,null,null,null
null,diagnosis,null,null,null
pseudoaneurysm,null,null,null,null
null,examination,null,null,null
null,diagnosis,null,null,null
null,cyst,null,null,null
par-,null,null,null,null
infection,null,null,null,null
null,null,null,null,splenectomy
null,treatment,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
null,treatment,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
mediate,null,null,null,null
ruptured,null,null,null,null
ruptured,null,null,null,null
null,null,cyst,null,null
null,null,null,null,splenectomy
null,treatment,null,null,null
rupture,null,null,null,null
null,cyst,null,null,null
lesions,null,null,null,null
null,treatment,null,null,null
ruptured,null,null,null,null
null,null,Arora,null,null
null,cyst,null,null,null
J.L.,null,null,null,null
null,Therapy,null,null,null
1992,null,null,null,null
Rupture,null,null,null,null
null,cyst,null,null,null
P.,null,null,null,null
F.,null,null,null,null
992–994,null,null,null,null
