B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
edema,null,null,null,null
Neurosurgery,null,null,null,null
null,null,null,General,null
Neurosurgery,null,null,null,null
Penetrating,null,null,null,null
injuries,null,null,null,null
null,null,null,general,null
null,null,CT,null,null
fracture,null,null,null,null
hemorrhage,null,null,null,null
null,null,CT,null,null
edema,null,null,null,null
null,null,null,null,surgery
penetrating,null,null,null,null
trauma,null,null,null,null
Penetrating,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
hematoma,null,null,null,null
contusion,null,null,null,null
hemorrhage,null,null,null,null
injuries,null,null,null,null
edema,null,null,null,null
null,null,null,general,null
edema,null,null,null,null
null,null,(CT),null,null
fracture,null,null,null,null
hemorrhage,null,null,null,null
null,null,CT,null,null
edema,null,null,null,null
fever,null,null,null,null
edema,null,null,null,null
edema,null,null,null,null
Neurosurgery,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
hemorrhage,null,null,null,null
parenchymal,null,null,null,null
edema,null,null,null,null
null,null,CT,null,null
null,null,null,null,surgery
Beginning,null,null,null,null
null,drainage,null,null,null
parenchymal,null,null,null,null
null,repaired,null,null,null
edema,null,null,null,null
edema,null,null,null,null
null,null,CT,null,null
null,null,null,null,surgery
null,null,CT,null,null
parenchymal,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
edema,null,null,null,null
null,null,CT,null,null
hemorrhage,null,null,null,null
null,null,null,null,surgery
Trauma,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,reconstruction,null,null,null
Trauma,null,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
foreign,null,null,null,null
null,null,CT,null,null
−500,null,null,null,null
null,null,−200,null,null
null,null,−1000 [9,null,null
parenchyma,null,null,null,null
impairment,null,null,null,null
injuries,null,null,null,null
hematoma,null,null,null,null
contusion,null,null,null,null
hemorrhage,null,null,null,null
injuries,null,null,null,null
edema,null,null,null,null
Fever,null,null,null,null
infection,null,null,null,null
12.5,null,null,null,null
trauma,null,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
null,examination,null,null,null
trauma,null,null,null,null
null,null,null,null,surgery
null,R.,null,null,null
L.,null,null,null,null
Neurosurgery,null,null,null,null
null,W.S.,null,null,null
null,treatment,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
Onuma,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
null,null,T.S.,null,null
C.R.,null,null,null,null
null,R.,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
F.,null,null,null,null
Shirouzu,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
R.C.,null,null,null,null
null,management,null,null,null
null,329–336,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
