B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
transection,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,R.,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,examination,null,null,null
herniation,null,null,null,null
injury,null,null,null,null
doubling,null,null,null,null
pain,null,null,null,null
null,exploration,null,null,null
null,repaired,null,null,null
injury,null,null,null,null
null,null,BY-NC,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
healthy,null,null,null,null
trauma,null,null,null,null
herniating,null,null,null,null
null,exploration,null,null,null
null,null,null,null,laparotomy
injuries,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
null,repaired,null,null,null
hematuria,null,null,null,null
null,null,(CT),null,null
injury,null,null,null,null
http://dx.doi.org/10.1016/j.tcr.2017.07.002,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,cystogram,null,null
injury,null,null,null,null
doubling,null,null,null,null
pain,null,null,null,null
nausea,null,null,null,null
null,null,ultrasound,null,null
null,null,CT,null,null
null,null,null,null,laparotomy
null,drained,null,null,null
null,null,Ureterogram,null,null
null,repair,null,null,null
Vicryl,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
highly,null,null,null,null
injury,null,null,null,null
hematuria,null,null,null,null
hematuria,null,null,null,null
null,Imaging,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,imaging,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,ureterogram,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,exploration,null,null,null
hemorrhage,null,null,null,null
leakage,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
injury,null,null,null,null
null,null,ureterogram,null,null
extravasation,null,null,null,null
null,repair,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
Pertinent,null,null,null,null
null,null,null,null,Ureteropyelostomy
injury,null,null,null,null
null,repair,null,null,null
healthy,null,null,null,null
injuries,null,null,null,null
null,imaging,null,null,null
null,imaging,null,null,null
null,null,ureterogram,null,null
injury,null,null,null,null
null,exploration,null,null,null
null,identiﬁcation,null,null,null
trauma,null,null,null,null
null,repair,null,null,null
injury,null,null,null,null
D.,null,null,null,null
O.,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,null,Today,null,null
B.L.,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
injuries,null,null,null,null
N.,null,null,null,null
null,null,S.B.,null,null
null,M.J.,null,null,null
injuries,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
J.C.,null,null,null,null
P.R.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
null,R.,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
641–644,null,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
