B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
null,null,null,null,Surgery
LA,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
Rupture,null,null,null,null
rupture,null,null,null,null
null,null,null,null,surgery
null,null,null,null,gastrostomy
disruption,null,null,null,null
injuries,null,null,null,null
declined,null,null,null,null
null,null,null,null,tracheostomy
null,null,null,null,gastrostomy
hemoperitoneum,null,null,null,null
null,null,null,null,splenectomy
rupture,null,null,null,null
rupture,null,null,null,null
disruption,null,null,null,null
hematoma,null,null,null,null
null,null,null,null,surgery
null,null,1980s,null,null
null,null,null,null,surgery
injury,null,null,null,null
injured,null,null,null,null
rupture,null,null,null,null
null,null,null,null,surgery
trauma,null,null,null,null
null,evaluation,null,null,null
null,null,Sonography,null,null
Trauma,null,null,null,null
null,null,(FAST),null,null
LA,null,null,null,null
null,R.,null,null,null
https://doi.org/10.1016/j.tcr.2019.100211,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
hepatorenal,null,null,null,null
null,imaging,null,null,null
injuries,null,null,null,null
hemorrhage,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
hematomas,null,null,null,null
hematoma,null,null,null,null
extravasation,null,null,null,null
hematomas,null,null,null,null
deteriorate,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
encephalopathy,null,null,null,null
declined,null,null,null,null
null,null,null,null,tracheostomy
null,null,null,null,gastrostomy
null,null,null,sterile,null
null,null,null,null,tracheostomy
null,null,null,null,gastrostomy
hypotension,null,null,null,null
hemoperitoneum,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
parenchymal,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
null,null,null,null,gastrostomy
trauma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
hematoma,null,null,null,null
disruption,null,null,null,null
disruption,null,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,null,null,null,splenectomy
injury,null,null,null,null
null,null,null,null,splenectomy
injury,null,null,null,null
hemi-,null,null,null,null
null,null,null,null,splenectomy
injury,null,null,null,null
null,null,laparoscopy,null,null
fifth,null,null,null,null
null,null,null,null,laparotomy
null,null,null,null,splenectomy
rupture,null,null,null,null
hematoma,null,null,null,null
rupture,null,null,null,null
null,null,null,null,Splenectomy
null,null,null,null,surgery
null,null,null,null,Surgery
null,null,null,null,cholecystectomy
null,null,null,null,cholecystectomy
null,null,null,null,surgery
null,null,laparoscopy,null,null
null,null,null,null,cholecystectomy
null,null,laparoscopy,null,null
null,null,laparoscopy,null,null
null,Exploration,null,null,null
null,null,laparoscopy,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,Management,null,null,null
null,exploration,null,null,null
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,Repaired,null,null,null
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,splenorraphy,null,null
null,Fifth,null,null,null
null,Fifth,null,null,null
lesion,null,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
lesion,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
null,null,ultrasound,null,null
null,evaluation,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
null,ePub,null,null,null
F.,null,null,null,null
null,null,null,null,surgery
null,null,null,null,K.
injury,null,null,null,null
null,null,null,null,surgery
R.P.,null,null,null,null
null,null,null,null,surgery
null,management,null,null,null
null,null,"S.L. Corson,",null,null
injuries,null,null,null,null
null,null,478–490,null,null
F.,null,null,null,null
rupture,null,null,null,null
null,null,null,null,cholecystectomy
rupture,null,null,null,null
null,null,null,null,cholecystectomy
BMC,null,null,null,null
Ruptured,null,null,null,null
null,null,laparoscopy,null,null
rupture,null,null,null,null
null,null,null,null,surgery
D.,null,null,null,null
L.,null,null,null,null
R.P.,null,null,null,null
Ruptured,null,null,null,null
null,null,null,null,cholecystectomy
A.E.,null,null,null,null
rupture,null,null,null,null
null,R.,null,null,null
lesion,null,null,null,null
null,null,laparoscopy,null,null
Rupture,null,null,null,null
null,null,laparoscopy,null,null
null,null,http://www.ncbi.nlm.nih.gov/pubmed/,null,null
Ruptured,null,null,null,null
null,null,laparoscopy,null,null
null,null,null,null,laparotomy
null,null,null,null,K.
Rupture,null,null,null,null
null,null,laparoscopy,null,null
injury,null,null,null,null
null,R.,null,null,null
Trauma,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
null,null,S.P.,null,null
null,null,null,null,splenectomy
null,null,null,null,nephrectomy
P.,null,null,null,null
null,null,null,null,splenectomy
null,null,null,null,nephrectomy
null,null,1111,null,null
