B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
null,O'Keeffe,null,null,null
L.,null,null,null,null
null,null,null,null,Surgery
null,null,null,null,Surgery
null,null,245603,null,null
Injury,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
null,null,BY,null,null
rupture,null,null,null,null
null,null,(CT),null,null
assumption,null,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
N.,null,null,null,null
null,null,2352,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
null,diagnosis,null,null,null
trauma,null,null,null,null
null,null,al.b,null,null
al.e,null,null,null,null
null,28(3,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
rupture,null,null,null,null
herniating,null,null,null,null
null,null,null,null,laparotomy
null,repair,null,null,null
null,ventilator,null,null,null
null,null,sound,null,null
injury,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
null,null,X-ray,null,null
null,null,radiographic,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,null,laparoscopy,null,null
herniating,null,null,null,null
null,repair,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,exploration,null,null,null
null,repair,null,null,null
injury,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
null,exploration,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
tion,null,null,null,null
null,null,Karmy,null,null
null,ventilator,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,null,ﬁnd-,null,null
injury,null,null,null,null
herniating,null,null,null,null
injury,null,null,null,null
herniating,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,diagnosis,null,null,null
P.,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,null,"S.L. Starnes,",null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,null,null,Surgery
null,R.,null,null,null
null,null,Karmy,null,null
injury,null,null,null,null
rupture,null,null,null,null
