B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
null,Kataria2,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
injury,null,null,null,null
null,null,BCVI,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
lesions,null,null,null,null
null,management,null,null,null
lesions,null,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,management,null,null,null
null,null,BCVI,null,null
pseudoaneurysm,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,treatment,null,null,null
lesions,null,null,null,null
null,management,null,null,null
lesions,null,null,null,null
null,therapy,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
patent,null,null,null,null
restricted,null,null,null,null
Trauma,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
injury,null,null,null,null
emphysema,null,null,null,null
null,null,CECT,null,null
transection,null,null,null,null
dilated,null,null,null,null
null,exploration,null,null,null
null,null,CT,null,null
null,null,Angio,null,null
null,exploration,null,null,null
transection,null,null,null,null
null,repaired,null,null,null
null,exploration,null,null,null
contused,null,null,null,null
null,repair,null,null,null
contusion,null,null,null,null
injury,null,null,null,null
null,propagation,null,null,null
hemiparesis,null,null,null,null
null,null,MR,null,null
null,null,angiogram,null,null
null,propagation,null,null,null
null,physiotherapy,null,null,null
null,physiotherapy,null,null,null
null,therapy,null,null,null
injuries,null,null,null,null
transection,null,null,null,null
null,treatment,null,null,null
null,therapy,null,null,null
lesions,null,null,null,null
null,exploration,null,null,null
injury,null,null,null,null
null,repair,null,null,null
null,management,null,null,null
injury,null,null,null,null
interposition,null,null,null,null
dilated,null,null,null,null
Trauma,null,null,null,null
null,null,MR,null,null
null,null,Angio,null,null
null,propagation,null,null,null
injured,null,null,null,null
traumatized,null,null,null,null
collateral,null,null,null,null
null,null,CT,null,null
null,null,Angio,null,null
null,null,BCVI,null,null
highly,null,null,null,null
highly,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,null,null,null,surgery
trauma,null,null,null,null
null,null,null,general,null
null,null,null,anesthesia,null
question,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,imaging,null,null,null
null,therapy,null,null,null
null,imaging,null,null,null
null,imaging,null,null,null
null,‘,null,null,null
null,’,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
injuries,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,null,null,null,Surgery
null,null,C.C.,null,null
J.L.,null,null,null,null
null,therapy,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,treatment,null,null,null
BMC,null,null,null,null
https://doi.org/10.1186/s12873-016-0088-z,null,null,null,null
PMCID,null,null,null,null
F.,null,null,null,null
PMCID,null,null,null,null
F.Y.,null,null,null,null
injuries,null,null,null,null
null,treatment,null,null,null
Trauma,null,null,null,null
PMCID,null,null,null,null
injury,null,null,null,null
null,therapy,null,null,null
513–522,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,null,https://doi.org/10.1155/2018/4602743,null,null
PMCID,null,null,null,null
PMC6015681,null,null,null,null
N.,null,null,null,null
P.,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
PMCID,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
PMCID,null,null,null,null
Penetrating,null,null,null,null
injury,null,null,null,null
PMCID,null,null,null,null
PMC5343100,null,null,null,null
null,null,C.C.,null,null
null,K.M.,null,null,null
null,R.,null,null,null
A.E.,null,null,null,null
injuries,null,null,null,null
null,J.P.,null,null,null
L.J.,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
null,null,C.C.,null,null
J.L.,null,null,null,null
injury,null,null,null,null
null,G.C.,null,null,null
null,R.,null,null,null
P.,null,null,null,null
N.,null,null,null,null
null,R.,null,null,null
injury,null,null,null,null
PMCID,null,null,null,null
PMCID,null,null,null,null
R.A.,null,null,null,null
