B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
AlMahmoudb,null,null,null,null
null,Fikri,null,null,null
null,null,null,null,Surgery
null,null,null,null,Surgery
injury,null,null,null,null
rupture,null,null,null,null
Trauma,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
Injuries,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
null,examination,null,null,null
hemorrhage,null,null,null,null
null,null,null,null,Surgery
null,null,2352,null,null
null,null,BY-NC,null,null
null,null,null,null,K.
Trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,(CT),null,null
injuries,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
fracture,null,null,null,null
hematoma,null,null,null,null
fracture,null,null,null,null
displacement,null,null,null,null
opaciﬁcation,null,null,null,null
loss,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
null,null,CT,null,null
null,null,angiographic,null,null
extravasation,null,null,null,null
null,null,null,general,null
null,null,null,anesthesia,null
null,repaired,null,null,null
null,examination,null,null,null
penetrating,null,null,null,null
null,repaired,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,null,CT,null,null
opaciﬁcation,null,null,null,null
fracture,null,null,null,null
herniation,null,null,null,null
null,null,null,null,K.
Trauma,null,null,null,null
null,null,null,general,null
injuries,null,null,null,null
injured,null,null,null,null
season,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,repaired,null,null,null
null,exploration,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,null,null,null,K.
Trauma,null,null,null,null
injuries,null,null,null,null
Injury,null,null,null,null
null,null,(2012),null,null
injuries,null,null,null,null
Injury,null,null,null,null
injuries,null,null,null,null
null,R.,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,null,(2002),null,null
O.,null,null,null,null
O.,null,null,null,null
injury,null,null,null,null
null,Management,null,null,null
injuries,null,null,null,null
N.,null,null,null,null
trauma,null,null,null,null
null,treatment,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
null,repair,null,null,null
Injury,null,null,null,null
407–409,null,null,null,null
