B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
hematoma,null,null,null,null
L.,null,null,null,null
Neurosurgery,null,null,null,null
null,null,33143,null,null
hematoma,null,null,null,null
trauma,null,null,null,null
hematomas,null,null,null,null
trauma,null,null,null,null
CSF,null,null,null,null
null,drainage,null,null,null
hematoma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
null,treatment,null,null,null
null,management,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
hematoma,null,null,null,null
null,treatment,null,null,null
null,null,BY,null,null
hematomas,null,null,null,null
trauma,null,null,null,null
hypertension,null,null,null,null
hematomas,null,null,null,null
null,treatment,null,null,null
average,null,null,null,null
trauma,null,null,null,null
hematoma,null,null,null,null
null,null,http://dx.doi.org/10.1016/j.tcr.2017.01.005,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,null,null,hemostasis
hemorrhage,null,null,null,null
capillaries,null,null,null,null
hemorrhage,null,null,null,null
impaired,null,null,null,null
hemiparesis,null,null,null,null
injury,null,null,null,null
CSF,null,null,null,null
null,therapy,null,null,null
null,null,null,null,craniotomy
tion,null,null,null,null
Neurosurgeons,null,null,null,null
null,treatment,null,null,null
null,null,null,null,craniostomy
null,null,null,null,craniotomy
null,drainage,null,null,null
pri-,null,null,null,null
null,evaluation,null,null,null
null,null,CT,null,null
hematomas,null,null,null,null
treated,null,null,null,null
hematomas,null,null,null,null
null,Treatment,null,null,null
hematoma,null,null,null,null
null,treatment,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
impairment,null,null,null,null
hemianopsia,null,null,null,null
null,examination,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
null,drained,null,null,null
null,null,null,general,null
null,null,null,anesthesia,null
null,null,null,sterile,null
hematoma,null,null,null,null
null,examination,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
hematoma,null,null,null,null
null,treatment,null,null,null
null,management,null,null,null
hematomas,null,null,null,null
null,drainage,null,null,null
craniotomies,null,null,null,null
hemorrhage,null,null,null,null
infection,null,null,null,null
null,null,null,null,craniostomy
null,drainage,null,null,null
null,null,null,null,craniostomy
null,treatment,null,null,null
null,treatment,null,null,null
null,10–20,null,null,null
null,treatment,null,null,null
hematomas,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
herniation,null,null,null,null
herniation,null,null,null,null
hematoma,null,null,null,null
null,drainage,null,null,null
hemorrhage,null,null,null,null
hematoma,null,null,null,null
null,treatment,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
null,management,null,null,null
materials,null,null,null,null
pertinent,null,null,null,null
A.A.,null,null,null,null
null,management,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
null,management,null,null,null
hematoma,null,null,null,null
J.L.,null,null,null,null
L.,null,null,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
null,lining,null,null,null
hematoma,null,null,null,null
J.C.,null,null,null,null
D.,null,null,null,null
null,Drazin,null,null,null
null,treatment,null,null,null
hematomas,null,null,null,null
hematomas,null,null,null,null
null,null,null,null,craniostomy
hematoma,null,null,null,null
P.,null,null,null,null
null,Treatment,null,null,null
Hematoma,null,null,null,null
Injury,null,null,null,null
null,R.,null,null,null
null,null,M.I.,null,null
null,therapy,null,null,null
hematoma,null,null,null,null
115,null,null,null,null
null,981–984,null,null,null
D.,null,null,null,null
http://dx.doi.org/10.3109/02688697.2013.812184,null,null,null,null
115,null,null,null,null
hematoma,null,null,null,null
null,Rusconi,null,null,null
L.,null,null,null,null
hemorrhagic,null,null,null,null
null,drainage,null,null,null
hematomas,null,null,null,null
D.,null,null,null,null
F.,null,null,null,null
electronic,null,null,null,null
null,null,null,null,craniostomy
http://dx.doi.org/10.1016/j.clineuro.2015.05.037,null,null,null,null
null,treatment,null,null,null
hematoma,null,null,null,null
null,null,(2001),null,null
null,371–381,null,null,null
P.,null,null,null,null
null,management,null,null,null
therapies,null,null,null,null
