B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,Zachary,null,null,null
null,null,WV,null,null
null,null,null,null,Surgery
null,null,WV,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
transection,null,null,null,null
Injury,null,null,null,null
null,null,null,null,laparotomy
null,repair,null,null,null
rupture,null,null,null,null
null,null,cholangiogram,null,null
extravasation,null,null,null,null
T-,null,null,null,null
null,removal,null,null,null
null,null,BY,null,null
Disruption,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,imaging,null,null,null
disruption,null,null,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
null,null,null,null,Surgery
null,null,WV,null,null
http://dx.doi.org/10.1016/j.tcr.2015.10.004,null,null,null,null
null,null,2352,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
tachycardic,null,null,null,null
null,null,12.9,null,null
null,null,CT,null,null
rupture,null,null,null,null
contusions,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
null,management,null,null,null
ruptured,null,null,null,null
null,null,null,null,laparotomy
distended,null,null,null,null
rupture,null,null,null,null
hematoma,null,null,null,null
null,null,cholangiogram,null,null
distended,null,null,null,null
hemorrhage,null,null,null,null
null,1b,null,null,null
extravasation,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,null,cholangiogram,null,null
null,null,CT,null,null
null,drainage,null,null,null
trauma,null,null,null,null
transection,null,null,null,null
Injury,null,null,null,null
null,null,null,null,laparotomy
null,repair,null,null,null
rupture,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
extravasation,null,null,null,null
null,repair,null,null,null
null,null,null,null,laparotomy
null,ventilator,null,null,null
neurotrauma,null,null,null,null
null,drained,null,null,null
null,null,null,null,gastrostomy
null,null,null,null,gastrostomy
null,null,null,null,tracheostomy
null,null,null,null,laparotomy
null,null,null,null,gastrostomy
null,removal,null,null,null
eign,null,null,null,null
null,Evaluation,null,null,null
null,drainage,null,null,null
pain,null,null,null,null
null,null,CT,null,null
null,null,urogram,null,null
injury,null,null,null,null
infection,null,null,null,null
null,null,cholangiogram,null,null
injury,null,null,null,null
Injuries,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
tion,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
null,null,CT,null,null
null,null,ultrasound,null,null
null,null,(CTPH),null,null
null,null,raphy,null,null
null,null,(ERCP),null,null
null,MRI,null,null,null
aspiration,null,null,null,null
null,evaluation,null,null,null
inability,null,null,null,null
injury,null,null,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
nausea,null,null,null,null
vomiting,null,null,null,null
fever,null,null,null,null
infection,null,null,null,null
leakage,null,null,null,null
hypertension,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
rupture,null,null,null,null
null,W.S.,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,null,null,laparotomy
Trauma,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
Injuries,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
null,B.M.,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
O.,null,null,null,null
P.,null,null,null,null
P.,null,null,null,null
null,treatment,null,null,null
null,management,null,null,null
trauma,null,null,null,null
P.,null,null,null,null
trauma,null,null,null,null
F.,null,null,null,null
trauma,null,null,null,null
903–907,null,null,null,null
null,R.,null,null,null
O.,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,repair,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
