B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
symphysis,null,null,null,null
disruption,null,null,null,null
rupture,null,null,null,null
null,null,null,null,K.
null,null,null,null,Surgery
null,null,CA,null,null
null,null,null,null,Surgery
null,Permanente,null,null,null
null,null,CA,null,null
symphysis,null,null,null,null
rupture,null,null,null,null
symphysis,null,null,null,null
disruption,null,null,null,null
trauma,null,null,null,null
rupture,null,null,null,null
symphysis,null,null,null,null
null,repair,null,null,null
symphysis,null,null,null,null
trauma,null,null,null,null
Disruption,null,null,null,null
symphysis,null,null,null,null
trauma,null,null,null,null
symphysis,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hypertension,null,null,null,null
pain,null,null,null,null
painful,null,null,null,null
hematuria,null,null,null,null
ecchymosis,null,null,null,null
swelling,null,null,null,null
distension,null,null,null,null
tenderness,null,null,null,null
null,null,ultrasound,null,null
null,examination,null,null,null
null,null,CT,null,null
null,null,angiogram,null,null
null,null,urogram,null,null
symphysis,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
hematoma,null,null,null,null
null,null,null,null,Surgery
4860,null,null,null,null
null,null,CA,null,null
null,null,https://doi.org/10.1016/j.tcr.2020.100299,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
symphysis,null,null,null,null
Hematoma,null,null,null,null
extravasation,null,null,null,null
extravasation,null,null,null,null
hematoma,null,null,null,null
null,Cauterization,null,null,null
null,arteriogram,null,null,null
extravasation,null,null,null,null
null,arteriogram,null,null,null
extravasation,null,null,null,null
injury,null,null,null,null
hematuria,null,null,null,null
null,treatment,null,null,null
null,exploration,null,null,null
null,repair,null,null,null
hematoma,null,null,null,null
null,repair,null,null,null
leak,null,null,null,null
null,null,null,null,hemostasis
null,closure,null,null,null
null,removal,null,null,null
null,exploration,null,null,null
trauma,null,null,null,null
symphysis,null,null,null,null
disruption,null,null,null,null
null,null,null,sterile,null
symphysis,null,null,null,null
null,reduction,null,null,null
symphysis,null,null,null,null
null,closure,null,null,null
null,null,null,null,surgery
null,null,radiographic,null,null
injury,null,null,null,null
rupture,null,null,null,null
hyperﬂexed,null,null,null,null
Trauma,null,null,null,null
null,Arteriogram,null,null,null
extravasation,null,null,null,null
null,null,radiograph,null,null
null,repair,null,null,null
tensile,null,null,null,null
disruption,null,null,null,null
symphysis,null,null,null,null
symphysis,null,null,null,null
rupture,null,null,null,null
mechanisms,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
symphysis,null,null,null,null
injuries,null,null,null,null
symphysis,null,null,null,null
disruption,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
pain,null,null,null,null
ecchymosis,null,null,null,null
hematuria,null,null,null,null
injury,null,null,null,null
null,repair,null,null,null
symphysis,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
R.J.,null,null,null,null
fractures,null,null,null,null
null,null,radiography,null,null
null,management,null,null,null
null,null,(1986),null,null
Keskın,null,null,null,null
disruption,null,null,null,null
symphysis,null,null,null,null
https://doi.org/10.1148/radiology.160.2.3726125,null,null,null,null
https://doi.org/10.1155/2015/812132,null,null,null,null
Hierholzer,null,null,null,null
disruption,null,null,null,null
symphysis,null,null,null,null
injury,null,null,null,null
Hussain,null,null,null,null
897–901,null,null,null,null
D.,null,null,null,null
null,null,95022007000300028,null,null
W.B.,null,null,null,null
null,null,J.G.,null,null
Trauma,null,null,null,null
disruption,null,null,null,null
Trauma,null,null,null,null
P.D.,null,null,null,null
symphysis,null,null,null,null
Injury,null,null,null,null
Trauma,null,null,null,null
A.B.,null,null,null,null
McConathy,null,null,null,null
hernia,null,null,null,null
pneumothorax,null,null,null,null
