B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,treatment,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Pain,null,null,null,null
null,null,null,null,Surgery
injury,null,null,null,null
trauma,null,null,null,null
null,evaluation,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,treatment,null,null,null
null,diagnosis,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,drainage,null,null,null
null,null,BY,null,null
null,evaluation,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,null,ultrasound,null,null
null,null,(CT),null,null
null,imaging,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,diagnosis,null,null,null
null,treatment,null,null,null
null,diagnosis,null,null,null
null,null,(ERCP),null,null
null,null,null,null,surgery
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
null,null,null,null,Surgery
Korea,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
transection,null,null,null,null
null,null,ERCP,null,null
disruption,null,null,null,null
leakage,null,null,null,null
null,drainage,null,null,null
null,null,CT,null,null
injury,null,null,null,null
vol-,null,null,null,null
null,treatment,null,null,null
null,null,ERCP,null,null
leakage,null,null,null,null
disruption,null,null,null,null
null,null,ERCP,null,null
leakage,null,null,null,null
leakage,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,applied,null,null,null
Disruption,null,null,null,null
injuries,null,null,null,null
leakage,null,null,null,null
disruption,null,null,null,null
trauma,null,null,null,null
pain,null,null,null,null
injury,null,null,null,null
aneurysm,null,null,null,null
injury,null,null,null,null
parenchymal,null,null,null,null
injury,null,null,null,null
null,management,null,null,null
contusion,null,null,null,null
disruption,null,null,null,null
null,treatment,null,null,null
injuries,null,null,null,null
null,reconstruction,null,null,null
null,drainage,null,null,null
null,null,ERCP,null,null
null,treatment,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
null,null,ERCP,null,null
null,diagnosis,null,null,null
null,treatment,null,null,null
null,therapy,null,null,null
null,null,ERCP,null,null
null,null,ERCP,null,null
trauma,null,null,null,null
null,treatment,null,null,null
disruption,null,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
null,null,ERCP,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
null,treatment,null,null,null
null,null,null,null,surgery
null,drainage,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
infection,null,null,null,null
null,treatment,null,null,null
null,null,null,null,surgery
Trauma,null,null,null,null
P.,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
classification,null,null,null,null
injuries,null,null,null,null
null,C.R.J.,null,null,null
Y.C.,null,null,null,null
J.L.,null,null,null,null
null,Management,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
774–778,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
N.,null,null,null,null
null,null,(2007),null,null
Fragulidis,null,null,null,null
disruption,null,null,null,null
null,R.,null,null,null
trauma,null,null,null,null
concise,null,null,null,null
9003–9011,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,null,CT,null,null
injuries,null,null,null,null
J.C.,null,null,null,null
null,R.,null,null,null
N.,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
R.H.,null,null,null,null
R.J.,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
null,R.,null,null,null
null,treatment,null,null,null
disruption,null,null,null,null
Trauma,null,null,null,null
disruption,null,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
null,J.P.,null,null,null
W.P.,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
N.,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
null,treatment,null,null,null
