B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,surgery
fracture,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
null,repaired,null,null,null
fracture,null,null,null,null
null,management,null,null,null
fracture,null,null,null,null
null,imaging,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
null,management,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
Trauma,null,null,null,null
null,null,FAST,null,null
pain,null,null,null,null
hematoma,null,null,null,null
null,null,x-ray,null,null
fracture,null,null,null,null
null,null,CT,null,null
fractures,null,null,null,null
null,null,CT,null,null
null,null,cystogram,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
fracture,null,null,null,null
null,null,X-ray,null,null
fracture,null,null,null,null
extravasation,null,null,null,null
null,reduction,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,repaired,null,null,null
fracture,null,null,null,null
null,reconstruction,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
null,null,cystogram,null,null
extravasation,null,null,null,null
photograph,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
Trauma,null,null,null,null
null,null,X-ray,null,null
null,reduction,null,null,null
fractures,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
injured,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
Injuries,null,null,null,null
contusion,null,null,null,null
rupture,null,null,null,null
Mechanisms,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Injuries,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
herniation,null,null,null,null
symphysis,null,null,null,null
null,reduction,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,urethrogram,null,null
injury,null,null,null,null
injury,null,null,null,null
hematuria,null,null,null,null
null,evaluation,null,null,null
Hematuria,null,null,null,null
injury,null,null,null,null
contusion,null,null,null,null
rupture,null,null,null,null
hematuria,null,null,null,null
hematuria,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,null,Cystography,null,null
null,null,CT,null,null
hematuria,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
Hematoma,null,null,null,null
Contusion,null,null,null,null
>,null,null,null,null
Trauma,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,null,cystogram,null,null
hematuria,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
hematuria,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,management,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
individualized,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
herniation,null,null,null,null
fracture,null,null,null,null
null,R.,null,null,null
trauma,null,null,null,null
null,null,D.G.,null,null
null,L.L.R.,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
351–354,null,null,null,null
R.J.,null,null,null,null
H.C.,null,null,null,null
null,treatment,null,null,null
fracture,null,null,null,null
Trauma,null,null,null,null
null,D.J.,null,null,null
L.C.,null,null,null,null
trauma,null,null,null,null
fracture,null,null,null,null
injuries,null,null,null,null
Injury,null,null,null,null
null,null,(2012),null,null
D.,null,null,null,null
Karaiskakis,null,null,null,null
L.,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
1–10,null,null,null,null
null,R.,null,null,null
injured,null,null,null,null
fracture,null,null,null,null
R.P.,null,null,null,null
null,M.J.,null,null,null
symphysis,null,null,null,null
null,reduction,null,null,null
R.J.,null,null,null,null
B.L.,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,(2007),null,null
