B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
null,J.P.,null,null,null
null,null,null,null,Surgery
KwaZulu,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
Injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,Imaging,null,null,null
trauma,null,null,null,null
null,null,BY-NC,null,null
trauma,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
null,null,null,null,laparotomy
pain,null,null,null,null
trauma,null,null,null,null
abrasions,null,null,null,null
distended,null,null,null,null
fractures,null,null,null,null
null,null,null,null,Surgery
KwaZulu,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
null,repaired,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
hematoma,null,null,null,null
loss,null,null,null,null
loss,null,null,null,null
Trauma,null,null,null,null
mechanisms,null,null,null,null
distended,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,management,null,null,null
null,evaluation,null,null,null
Injuries,null,null,null,null
injuries,null,null,null,null
null,null,null,null,laparotomy
null,treatment,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
aspiration,null,null,null,null
rupture,null,null,null,null
null,null,radiographs,null,null
obliteration,null,null,null,null
null,null,ultrasonography,null,null
null,null,Ultrasonography,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
injury,null,null,null,null
null,null,null,null,laparotomy
null,null,raphy,null,null
null,null,(CT),null,null
null,null,CT,null,null
null,null,null,null,laparotomy
extravasation,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
trauma,null,null,null,null
Mechanisms,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,Management,null,null,null
trauma,null,null,null,null
null,null,radiograph,null,null
Trauma,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
null,null,null,null,laparotomy
injuries,null,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
null,closure,null,null,null
loss,null,null,null,null
loss,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
injuries,null,null,null,null
loss,null,null,null,null
null,null,null,null,gastrectomy
injuries,null,null,null,null
null,reconstruction,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
J.L.,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
null,R.,null,null,null
N.,null,null,null,null
injury,null,null,null,null
null,null,(2001),null,null
injury,null,null,null,null
null,null,VI,null,null
Trauma,null,null,null,null
F.,null,null,null,null
Rupture,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,R.,null,null,null
P.,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
49–52,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,null,null,null,surgery
injuries,null,null,null,null
haemorrhage,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
Injuries,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
null,Management,null,null,null
injuries,null,null,null,null
null,null,EAST,null,null
Injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,EAST,null,null
Trauma,null,null,null,null
