B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,treatment,null,null,null
injuries,null,null,null,null
pseudoaneurysm,null,null,null,null
Neurosurgery,null,null,null,null
null,Education,null,null,null
null,null,null,null,Surgery
injury,null,null,null,null
injury,null,null,null,null
aneurysm,null,null,null,null
aneurysm,null,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
null,reconstruction,null,null,null
null,Treatment,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
null,null,angiography,null,null
injuries,null,null,null,null
null,null,1991,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,treatment,null,null,null
null,removal,null,null,null
Neurosurgery,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,SCT,null,null
contusion,null,null,null,null
haemorrhage,null,null,null,null
foreign,null,null,null,null
contusion,null,null,null,null
null,null,SCT,null,null
penetrating,null,null,null,null
injury,null,null,null,null
foreign,null,null,null,null
contusion,null,null,null,null
haemopneumothorax,null,null,null,null
injuries,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
null,null,echocardiography,null,null
null,null,(SCT),null,null
null,null,null,null,surgery
ensures,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
null,null,SCT,null,null
contusion,null,null,null,null
prolapse,null,null,null,null
null,null,null,null,craniotomy
injury,null,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,applied,null,null,null
null,stabilised,null,null,null
null,null,SCT,null,null
penetrating,null,null,null,null
injury,null,null,null,null
parenchyma,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
null,null,SCT,null,null
hyperdense,null,null,null,null
null,null,angiography,null,null
aneurysm,null,null,null,null
Trauma,null,null,null,null
null,null,angiography,null,null
aneurysm,null,null,null,null
contusion,null,null,null,null
null,null,SCT,null,null
parenchyma,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
foreign,null,null,null,null
parenchyma,null,null,null,null
contusions,null,null,null,null
Penetrating,null,null,null,null
injury,null,null,null,null
foreign,null,null,null,null
contusion,null,null,null,null
haemopneumothorax,null,null,null,null
null,null,null,null,thoracotomy
null,null,SCT,null,null
injury,null,null,null,null
null,drained,null,null,null
null,null,null,null,surgery
penetrating,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
null,treatment,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,removal,null,null,null
null,null,null,null,surgery
null,null,SCT,null,null
prolapse,null,null,null,null
null,null,null,null,craniotomy
injury,null,null,null,null
foreign,null,null,null,null
null,null,echocardiography,null,null
foreign,null,null,null,null
penetrating,null,null,null,null
null,null,electrocardiography,null,null
hypoxia,null,null,null,null
null,null,electrocardiogram,null,null
null,null,echocardiography,null,null
null,null,null,null,Surgery
null,treatment,null,null,null
Trauma,null,null,null,null
null,null,angiography,null,null
aneurysm,null,null,null,null
null,null,null,null,surgery
foreign,null,null,null,null
null,null,null,null,Sternotomy
null,null,null,null,surgery
null,null,null,null,atriotomies
null,drained,null,null,null
null,null,SCT,null,null
injury,null,null,null,null
hyperdense,null,null,null,null
pseudoaneurysm,null,null,null,null
null,null,angiography,null,null
aneurysm,null,null,null,null
aneurysm,null,null,null,null
null,null,X-ray,null,null
aneurysm,null,null,null,null
aneurysm,null,null,null,null
aneurysm-bearing,null,null,null,null
null,angio-,null,null,null
null,null,graphic,null,null
aneurysm,null,null,null,null
deteriorate,null,null,null,null
aneurysm,null,null,null,null
null,null,angiography,null,null
null,null,X-ray,null,null
aneurysm,null,null,null,null
null,null,angiography,null,null
null,null,null,null,surgery
null,treatment,null,null,null
Trauma,null,null,null,null
haemopneumothorax,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
aneurysm,null,null,null,null
aneurysm,null,null,null,null
aneurysm,null,null,null,null
tions,null,null,null,null
null,collateral,null,null,null
deﬁciency,null,null,null,null
null,null,null,null,surgery
null,Treatment,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
injury,null,null,null,null
Neurotrauma,null,null,null,null
K.S.,null,null,null,null
null,Management,null,null,null
Neurosurgery,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
null,R.,null,null,null
R.A.,null,null,null,null
null,treatment,null,null,null
injuries,null,null,null,null
Neurosurgery,null,null,null,null
null,management,null,null,null
Neurosurgery,null,null,null,null
null,R.,null,null,null
aneurysm,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
https://doi.org/10.1136/bcr-2014-206130,null,null,null,null
N.,null,null,null,null
null,null,null,null,K.
injuries,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
Penetrating,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
null,B.M.,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
Vodička,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
C.R.,null,null,null,null
Vlasis,null,null,null,null
