B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
ligament,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
injuries,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
trauma,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
fractures,null,null,null,null
ligament,null,null,null,null
ligament,null,null,null,null
null,null,(MIPO),null,null
fracture,null,null,null,null
arthroﬁbrosis,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
trauma,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
ligament,null,null,null,null
ligament,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
null,reduction,null,null,null
trauma,null,null,null,null
null,examination,null,null,null
swelling,null,null,null,null
tenderness,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
fracture,null,null,null,null
fractures,null,null,null,null
null,null,radiograph,null,null
fracture,null,null,null,null
null,null,CT,null,null
ligament,null,null,null,null
fractures,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
ligament,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
injuries,null,null,null,null
null,null,angiography,null,null
null,null,radiograph,null,null
null,null,(CT),null,null
fracture,null,null,null,null
fractures,null,null,null,null
null,imaging,null,null,null
null,MRI,null,null,null
ligament,null,null,null,null
injuries,null,null,null,null
null,null,null,null,surgery
null,reduction,null,null,null
fracture,null,null,null,null
null,null,(MIPO),null,null
fracture,null,null,null,null
establish,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
pain,null,null,null,null
null,null,radiograph,null,null
fractures,null,null,null,null
fractures,null,null,null,null
null,null,null,null,surgery
fracture,null,null,null,null
null,null,null,null,surgery
preinjury,null,null,null,null
Trauma,null,null,null,null
null,null,radiographs,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,removal,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
null,diagnosis,null,null,null
null,treatment,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
null,treatment,null,null,null
null,reduction,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
injuries,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
null,null,MIPO,null,null
Trauma,null,null,null,null
null,null,radiographs,null,null
fractures,null,null,null,null
arthroﬁbrosis,null,null,null,null
null,treatment,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
null,treatment,null,null,null
arthroﬁbrosis,null,null,null,null
null,null,null,null,surgery
fractures,null,null,null,null
loss,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
ligament,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
arthroﬁbrosis,null,null,null,null
Trauma,null,null,null,null
fractures,null,null,null,null
null,management,null,null,null
O.,null,null,null,null
null,treatment,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
P.,null,null,null,null
fractures,null,null,null,null
obstructing,null,null,null,null
null,reduction,null,null,null
Injury,null,null,null,null
null,null,null,null,osteotomy
fracture,null,null,null,null
null,R.,null,null,null
null,R.,null,null,null
fracture,null,null,null,null
P.,null,null,null,null
fractures,null,null,null,null
P.O.,null,null,null,null
null,Management,null,null,null
ligament,null,null,null,null
injuries,null,null,null,null
D.,null,null,null,null
ligament,null,null,null,null
fractures,null,null,null,null
null,R.,null,null,null
fracture,null,null,null,null
