B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
hemorrhage,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,surgery
null,management,null,null,null
injuries,null,null,null,null
fracture,null,null,null,null
null,null,null,null,surgery
swelling,null,null,null,null
ecchymosis,null,null,null,null
edema,null,null,null,null
null,examination,null,null,null
ecchymosis,null,null,null,null
trauma,null,null,null,null
pain,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,surgery
neurosurgery,null,null,null,null
null,imaging,null,null,null
null,null,null,null,surgery
null,management,null,null,null
fractures,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
fractures,null,null,null,null
null,Imaging,null,null,null
fractures,null,null,null,null
hematomas,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
fracture,null,null,null,null
fracture,null,null,null,null
hematomas,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
null,K.M.,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
fracture,null,null,null,null
null,null,CT,null,null
contusion,null,null,null,null
hemorrhage,null,null,null,null
hematoma,null,null,null,null
hemorrhage,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
fracture,null,null,null,null
null,K.M.,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
fracture,null,null,null,null
hematoma,null,null,null,null
fracture,null,null,null,null
displacement,null,null,null,null
fractures,null,null,null,null
injuries,null,null,null,null
contusions,null,null,null,null
hemorrhage,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
fractures,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
fractures,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,management,null,null,null
loss,null,null,null,null
DO,null,null,null,null
null,null,Somasundaram,null,null
Perrin,null,null,null,null
ecchymosis,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
Trauma,null,null,null,null
injuries,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
null,null,(2012),null,null
null,J.P.,null,null,null
fractures,null,null,null,null
null,evaluation,null,null,null
null,management,null,null,null
fractures,null,null,null,null
