B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
null,null,(2015),null,null
Trauma,null,null,null,null
null,null,unduly,null,null
trauma,null,null,null,null
H.K.C.,null,null,null,null
D.,null,null,null,null
B.L.,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
tion,null,null,null,null
null,Diagnosis,null,null,null
trauma,null,null,null,null
healthy,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
pain,null,null,null,null
fever,null,null,null,null
trauma,null,null,null,null
null,null,X-rays,null,null
null,null,FAST,null,null
null,null,sonography,null,null
trauma,null,null,null,null
pain,null,null,null,null
fever,null,null,null,null
pain,null,null,null,null
drdamindarupasinghe@yahoo.com,null,null,null,null
D.,null,null,null,null
B.L.,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
H.K.C.,null,null,null,null
Trauma,null,null,null,null
vomiting,null,null,null,null
fever,null,null,null,null
null,management,null,null,null
fever,null,null,null,null
vomiting,null,null,null,null
null,examination,null,null,null
resus-,null,null,null,null
infection,null,null,null,null
null,null,X-rays,null,null
dilated,null,null,null,null
tomogra-,null,null,null,null
null,null,(CT),null,null
transection,null,null,null,null
tion,null,null,null,null
null,null,null,null,Laparotomy
ileostomy,null,null,null,null
ileostomy,null,null,null,null
trauma,null,null,null,null
injured,null,null,null,null
injured,null,null,null,null
trauma,null,null,null,null
null,null,CECT,null,null
trauma,null,null,null,null
H.K.C.,null,null,null,null
Trauma,null,null,null,null
null,examination,null,null,null
trauma,null,null,null,null
null,null,radiographs,null,null
null,null,FAST,null,null
null,examination,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,null,FAST,null,null
null,null,ultrasound,null,null
null,null,CT,null,null
null,null,CT,null,null
extravasation,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
null,null,Laparoscopy,null,null
null,imaging,null,null,null
null,null,null,null,surgery
lesions,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,null,CECT,null,null
injury,null,null,null,null
null,null,CT,null,null
null,null,ultrasound,null,null
injury,null,null,null,null
Gunawardena,null,null,null,null
trauma,null,null,null,null
null,null,Shams,null,null
null,G.M.,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
N.,null,null,null,null
null,null,(2012),null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,R.,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
mechanisms,null,null,null,null
Trauma,null,null,null,null
H.K.C.,null,null,null,null
Trauma,null,null,null,null
null,W.S.,null,null,null
L.,null,null,null,null
null,management,null,null,null
null,evaluation,null,null,null
trauma,null,null,null,null
null,null,EAST,null,null
null,management,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
null,null,M.I.,null,null
null,C.H.,null,null,null
null,null,V.M.,null,null
null,null,ultrasonography,null,null
L.,null,null,null,null
D.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
null,null,(FAST),null,null
trauma,null,null,null,null
L.H.,null,null,null,null
D.,null,null,null,null
null,null,ultrasound,null,null
null,examination,null,null,null
null,null,FAST,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,diagnosis,null,null,null
null,670–675,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,EAST,null,null
Trauma,null,null,null,null
null,G.C.,null,null,null
F.,null,null,null,null
Injury,null,null,null,null
Y.C.,null,null,null,null
null,C.H.,null,null,null
null,null,C.C.,null,null
null,null,S.C.,null,null
R.J.,null,null,null,null
trauma,null,null,null,null
570–573,null,null,null,null
A.A.,null,null,null,null
null,null,Laparoscopy,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
null,null,laparoscopy,null,null
null,treatment,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
discus-,null,null,null,null
A.B.,null,null,null,null
P.,null,null,null,null
injuries,null,null,null,null
