B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
null,null,(2015),null,null
Trauma,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
transection,null,null,null,null
null,null,un-,null,null
injury,null,null,null,null
pain,null,null,null,null
null,null,CT,null,null
null,null,null,null,laparotomy
transection,null,null,null,null
injury,null,null,null,null
null,evaluation,null,null,null
trauma,null,null,null,null
transection,null,null,null,null
null,null,BY-NC,null,null
http://dx.doi.org/10.1016/j.tcr.2015.10.010,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
injured,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
polytrauma,null,null,null,null
injuries,null,null,null,null
null,diagnosis,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
transection,null,null,null,null
transection,null,null,null,null
injury,null,null,null,null
pre-,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
vomiting,null,null,null,null
loss,null,null,null,null
null,examination,null,null,null
tachycardia,null,null,null,null
null,examination,null,null,null
contusion,null,null,null,null
tenderness,null,null,null,null
tenderness,null,null,null,null
trauma,null,null,null,null
null,examination,null,null,null
tenderness,null,null,null,null
ecchymosis,null,null,null,null
null,null,X-rays,null,null
null,null,CT,null,null
null,null,CT,null,null
injury,null,null,null,null
null,null,CT,null,null
Trauma,null,null,null,null
null,null,laparoscopy,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
null,null,mes-,null,null
injury,null,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
transection,null,null,null,null
null,repair,null,null,null
null,null,CT,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
Injury,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
polytrauma,null,null,null,null
pain,null,null,null,null
tenderness,null,null,null,null
distension,null,null,null,null
injured,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,null,Ultrasonography,null,null
null,null,laparoscopy,null,null
injury,null,null,null,null
injuries,null,null,null,null
infection,null,null,null,null
ruptured,null,null,null,null
transection,null,null,null,null
injury,null,null,null,null
null,Management,null,null,null
null,closure,null,null,null
injury,null,null,null,null
null,null,CT,null,null
Trauma,null,null,null,null
injured,null,null,null,null
trauma,null,null,null,null
injured,null,null,null,null
null,diagnosis,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
null,evaluation,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
transection,null,null,null,null
e54–e55,null,null,null,null
R.P.,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
e55,null,null,null,null
L.,null,null,null,null
trauma,null,null,null,null
Castro,null,null,null,null
N.,null,null,null,null
null,R.,null,null,null
L.,null,null,null,null
P.,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
D.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
N.,null,null,null,null
Riyad,null,null,null,null
Karmy-Jones,null,null,null,null
null,null,null,null,laparotomy
trauma,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
null,null,(2002),null,null
426–433,null,null,null,null
N.,null,null,null,null
trauma,null,null,null,null
null,null,null,null,Surgery
injury,null,null,null,null
trauma,null,null,null,null
