B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
null,management,null,null,null
null,treatment,null,null,null
null,treatment,null,null,null
null,null,BY,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
null,Observation,null,null,null
null,null,null,general,null
null,null,null,null,surgery
null,examination,null,null,null
hematoma,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
extravasation,null,null,null,null
null,null,CT,null,null
null,null,angiography,null,null
opaciﬁcation,null,null,null,null
null,reconstruction,null,null,null
null,null,CT,null,null
null,null,angio,null,null
Trauma,null,null,null,null
null,12.3,null,null,null
null,null,X-ray,null,null
effusion,null,null,null,null
null,null,CT,null,null
extravasation,null,null,null,null
lesions,null,null,null,null
null,treatment,null,null,null
pain,null,null,null,null
fever,null,null,null,null
null,null,CT,null,null
null,null,angiography,null,null
aneurysm,null,null,null,null
opaciﬁcation,null,null,null,null
null,reconstruction,null,null,null
null,null,CT,null,null
null,null,angio,null,null
null,treatment,null,null,null
extravasation,null,null,null,null
opaciﬁcation,null,null,null,null
rupture,null,null,null,null
aneurysm,null,null,null,null
hepatocaval,null,null,null,null
depend,null,null,null,null
pain,null,null,null,null
hepatocaval,null,null,null,null
null,Treatment,null,null,null
null,management,null,null,null
hypertension,null,null,null,null
null,null,ultrasound,null,null
null,imaging,null,null,null
null,null,CT,null,null
null,null,angiography,null,null
null,treatment,null,null,null
null,null,null,null,surgery
null,management,null,null,null
null,treatment,null,null,null
null,null,null,null,Surgery
hemorrhagic,null,null,null,null
null,management,null,null,null
null,treatment,null,null,null
null,treatment,null,null,null
null,null,S.B.,null,null
null,Imaging,null,null,null
null,J.P.,null,null,null
P.L.,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,K.
null,R.,null,null,null
R.H.,null,null,null,null
P.,null,null,null,null
null,imaging,null,null,null
V.N.,null,null,null,null
A.B.,null,null,null,null
V.N.,null,null,null,null
null,treatment,null,null,null
