B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
null,null,100250,null,null
Trauma,null,null,null,null
hernia,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,MD,null,null
injury,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,repair,null,null,null
pain,null,null,null,null
null,Imaging,null,null,null
rupture,null,null,null,null
herniation,null,null,null,null
hemithorax,null,null,null,null
null,null,null,null,laparotomy
hernia,null,null,null,null
herniating,null,null,null,null
null,repaired,null,null,null
average,null,null,null,null
hernia,null,null,null,null
herniation,null,null,null,null
hernia,null,null,null,null
hernia,null,null,null,null
trauma,null,null,null,null
pain,null,null,null,null
loss,null,null,null,null
tamponade[2,null,null,null,null
hernia,null,null,null,null
rupture,null,null,null,null
pain,null,null,null,null
tenderness,null,null,null,null
tenderness,null,null,null,null
null,Evaluation,null,null,null
null,null,CT,null,null
fractures,null,null,null,null
injuries,null,null,null,null
pain,null,null,null,null
null,therapy,null,null,null
pain,null,null,null,null
dizziness,null,null,null,null
null,imaging,null,null,null
rupture,null,null,null,null
herniation,null,null,null,null
hemithorax,null,null,null,null
null,∗,null,null,null
null,null,"MD 21237,",null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,100250,null,null
rupture,null,null,null,null
herniation,null,null,null,null
hemithorax,null,null,null,null
herniation,null,null,null,null
hemithorax,null,null,null,null
herniation,null,null,null,null
fracture,null,null,null,null
null,management,null,null,null
tachycardic,null,null,null,null
tenderness,null,null,null,null
null,reduction,null,null,null
null,repair,null,null,null
null,exploration,null,null,null
null,repaired,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,imaging,null,null,null
herniation,null,null,null,null
null,imaging,null,null,null
pain,null,null,null,null
herniation,null,null,null,null
Trauma,null,null,null,null
null,null,100250,null,null
null,repaired,null,null,null
null,repaired,null,null,null
herniation,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
disruption,null,null,null,null
null,repair,null,null,null
null,null,null,null,thoracotomy
herniation,null,null,null,null
ensure,null,null,null,null
herniation,null,null,null,null
average,null,null,null,null
hernia,null,null,null,null
herniation,null,null,null,null
hernia,null,null,null,null
null,null,null,null,K.
O.,null,null,null,null
null,Repair,null,null,null
hernia,null,null,null,null
null,repair,null,null,null
hernia,null,null,null,null
rupture,null,null,null,null
