B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,Management,null,null,null
fracture,null,null,null,null
null,Education,null,null,null
Fracture,null,null,null,null
Fractures,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
null,reduction,null,null,null
null,stabilised,null,null,null
null,collateral,null,null,null
null,repaired,null,null,null
null,reduction,null,null,null
fractures,null,null,null,null
null,applied,null,null,null
pain,null,null,null,null
Displacement,null,null,null,null
null,reduction,null,null,null
ligament,null,null,null,null
null,repair,null,null,null
null,null,null,null,anatomy
Fractures,null,null,null,null
dislocations,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,repair,null,null,null
collateral,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,examination,null,null,null
null,null,Radiographs,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
fracture,null,null,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,stabilised,null,null,null
null,collateral,null,null,null
null,collateral,null,null,null
null,repaired,null,null,null
lasso,null,null,null,null
null,repair,null,null,null
collateral,null,null,null,null
null,repair,null,null,null
swelling,null,null,null,null
fractures,null,null,null,null
null,applied,null,null,null
pain,null,null,null,null
fracture,null,null,null,null
dislocations,null,null,null,null
injuries,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
treated,null,null,null,null
null,reduction,null,null,null
injury,null,null,null,null
null,reduction,null,null,null
fracture,null,null,null,null
injury,null,null,null,null
null,exploration,null,null,null
null,reduction,null,null,null
dislocations,null,null,null,null
fractures,null,null,null,null
collateral,null,null,null,null
ligament,null,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
fracture,null,null,null,null
fracture,null,null,null,null
null,null,radiographs,null,null
fractures,null,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
null,null,radiograph,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,radiograph,null,null
physis,null,null,null,null
fracture,null,null,null,null
fractures,null,null,null,null
fracture,null,null,null,null
null,reduction,null,null,null
null,repair,null,null,null
collateral,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
null,management,null,null,null
Displacement,null,null,null,null
null,reduction,null,null,null
ligament,null,null,null,null
null,repair,null,null,null
injury,null,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,653–887,null,null,null
Fractures,null,null,null,null
dislocations,null,null,null,null
Fractures,null,null,null,null
null,R.,null,null,null
fracture,null,null,null,null
K.C.,null,null,null,null
fracture,null,null,null,null
P.,null,null,null,null
Fractures,null,null,null,null
L.,null,null,null,null
Fractures,null,null,null,null
Dislocations,null,null,null,null
