B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,null,null,Surgery
null,null,null,General,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,null,null,Surgery
trauma,null,null,null,null
Pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
hemorrhage,null,null,null,null
pain,null,null,null,null
hemoperitoneum,null,null,null,null
leakage,null,null,null,null
Pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
hemoperitoneum,null,null,null,null
pseudoaneurysm,null,null,null,null
null,management,null,null,null
hemorrhage,null,null,null,null
trauma,null,null,null,null
pain,null,null,null,null
tenderness,null,null,null,null
null,examination,null,null,null
fractures,null,null,null,null
null,null,(CT),null,null
dys-,null,null,null,null
null,null,CT,null,null
hemoperitoneum,null,null,null,null
leakage,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,null,null,Surgery
null,35233,null,null,null
mdearnest@naver.com,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
hemoperitoneum,null,null,null,null
leakage,null,null,null,null
ligament,null,null,null,null
null,null,Angiography,null,null
extravasation,null,null,null,null
pseudoaneurysm,null,null,null,null
null,null,angiography,null,null
null,management,null,null,null
null,transfusion,null,null,null
null,applied,null,null,null
null,null,CT,null,null
pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
null,null,Angiography,null,null
extravasation,null,null,null,null
null,null,angiography,null,null
pseudoaneurysm,null,null,null,null
extravasation,null,null,null,null
null,null,CT,null,null
leakage,null,null,null,null
aneurysm,null,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
pseudoaneurysm,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
pseudoaneurysm,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
pseudoaneurysm,null,null,null,null
null,null,CT,null,null
Pseudoaneurysm,null,null,null,null
null,management,null,null,null
hemorrhage,null,null,null,null
null,treatment,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
null,null,Angiography,null,null
extravasation,null,null,null,null
null,null,angiography,null,null
pseudoaneurysm,null,null,null,null
extravasation,null,null,null,null
null,null,CT,null,null
leakage,null,null,null,null
aneurysm,null,null,null,null
null,treatment,null,null,null
hemorrhage,null,null,null,null
null,Treatment,null,null,null
null,null,null,null,surgery
null,null,null,null,surgery
null,treatment,null,null,null
null,therapy,null,null,null
null,treatment,null,null,null
null,null,Angiographic,null,null
null,null,angiography,null,null
pseudoaneurysm,null,null,null,null
trauma,null,null,null,null
treated,null,null,null,null
null,treatment,null,null,null
pseudoaneurysm,null,null,null,null
hemoperitoneum,null,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
L.,null,null,null,null
pseudoaneurysm,null,null,null,null
trauma,null,null,null,null
null,Imaging,null,null,null
Ruptured,null,null,null,null
null,repair,null,null,null
e9–12,null,null,null,null
null,null,"S.L. Salzman,",null,null
D.,null,null,null,null
null,null,Angiographic,null,null
pseudoaneurysm,null,null,null,null
D.,null,null,null,null
aneurysm,null,null,null,null
Kohama,null,null,null,null
ruptured,null,null,null,null
aneurysm,null,null,null,null
null,R.,null,null,null
aneurysm,null,null,null,null
rupture,null,null,null,null
Ruptured,null,null,null,null
aneurysm,null,null,null,null
