B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
Kitasato,null,null,null,null
Kitasato,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
null,imaging,null,null,null
null,null,(CT),null,null
hematoma,null,null,null,null
injury,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,imaging,null,null,null
null,imaging,null,null,null
parenchyma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
null,null,null,null,hemostasis
hemorrhage,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
null,null,null,null,hemostasis
null,treatment,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
hemorrhage,null,null,null,null
null,management,null,null,null
null,treatment,null,null,null
injury,null,null,null,null
null,null,BY,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
hemorrhage,null,null,null,null
null,treatment,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
null,imaging,null,null,null
null,null,(CT),null,null
null,null,angiography,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
hard,null,null,null,null
injuries,null,null,null,null
Pain,null,null,null,null
tenderness,null,null,null,null
null,null,X-ray,null,null
hematoma,null,null,null,null
null,null,nography,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
hemorrhage,null,null,null,null
hematoma,null,null,null,null
null,imaging,null,null,null
extravasation,null,null,null,null
extravasation,null,null,null,null
hematoma,null,null,null,null
extravasation,null,null,null,null
null,null,Angiography,null,null
null,closure,null,null,null
null,treatment,null,null,null
Extravasation,null,null,null,null
null,imaging,null,null,null
null,imaging,null,null,null
null,null,CT,null,null
extravasation,null,null,null,null
parenchyma,null,null,null,null
injury,null,null,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
injury,null,null,null,null
extravasation,null,null,null,null
extravasation,null,null,null,null
null,treatment,null,null,null
null,management,null,null,null
null,treatment,null,null,null
null,treatment,null,null,null
null,imaging,null,null,null
null,null,radiography,null,null
null,null,null,null,surgery
null,null,CT,null,null
dam-,null,null,null,null
null,treatment,null,null,null
null,null,null,null,surgery
hemorrhage,null,null,null,null
hemorrhage,null,null,null,null
injuries,null,null,null,null
parenchymal,null,null,null,null
hemorrhage,null,null,null,null
hemorrhage,null,null,null,null
extravasation,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
hematoma,null,null,null,null
extravasation,null,null,null,null
hematoma,null,null,null,null
hemorrhage,null,null,null,null
Trauma,null,null,null,null
null,null,Angiography,null,null
extravasation,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,null,CT,null,null
null,null,null,null,hemostasis
hemorrhage,null,null,null,null
hem-,null,null,null,null
null,null,null,null,hemostasis
hemorrhage,null,null,null,null
injury,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
extravasation,null,null,null,null
parenchymal,null,null,null,null
parenchymal,null,null,null,null
extravasation,null,null,null,null
Trauma,null,null,null,null
extravasation,null,null,null,null
hemorrhage,null,null,null,null
direction,null,null,null,null
dam-,null,null,null,null
hemorrhage,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
injury,null,null,null,null
hemorrhage,null,null,null,null
null,treatment,null,null,null
null,null,null,null,hemostasis
null,treatment,null,null,null
injury,null,null,null,null
null,R.,null,null,null
null,R.,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
paradigm,null,null,null,null
null,Imaging,null,null,null
treated,null,null,null,null
null,R.,null,null,null
L.M.,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,R.,null,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,management,null,null,null
Trauma,null,null,null,null
null,Management,null,null,null
trauma,null,null,null,null
