B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
injury,null,null,null,null
transection,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
null,‘,null,null,null
null,’,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
driver,null,null,null,null
Trauma,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
injury,null,null,null,null
anchoring,null,null,null,null
null,null,FAST,null,null
null,examination,null,null,null
injury,null,null,null,null
null,null,CECT,null,null
null,exploration,null,null,null
contused,null,null,null,null
null,repair,null,null,null
ileostomy,null,null,null,null
infection,null,null,null,null
hypotension,null,null,null,null
ensure,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
transection,null,null,null,null
Injury,null,null,null,null
ﬂexion-,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
ileostomy,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,‘,null,null,null
trauma,null,null,null,null
null,’,null,null,null
null,‘,null,null,null
null,’,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
P.,null,null,null,null
null,treatment,null,null,null
null,null,https://www.osha.gov/SLTC/etools/construction/falls/fallarrest.html,null,null
null,R.,null,null,null
D.,null,null,null,null
injury,null,null,null,null
O.,null,null,null,null
trauma,null,null,null,null
