B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,removal,null,null,null
foreign,null,null,null,null
Foreign,null,null,null,null
injury,null,null,null,null
foreign,null,null,null,null
trauma,null,null,null,null
null,exploration,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
trauma,null,null,null,null
null,removal,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
null,null,null,null,anatomy
foreign,null,null,null,null
injuries,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
trauma,null,null,null,null
null,Examination,null,null,null
foreign,null,null,null,null
null,null,X-ray,null,null
null,null,ultrasound,null,null
foreign,null,null,null,null
null,exploration,null,null,null
null,null,null,anesthesia,null
trajectory,null,null,null,null
foreign,null,null,null,null
null,impaction,null,null,null
foreign,null,null,null,null
null,exploration,null,null,null
null,null,(CT),null,null
foreign,null,null,null,null
null,exploration,null,null,null
null,null,null,general,null
null,null,null,anesthesia,null
foreign,null,null,null,null
null,impaction,null,null,null
https://doi.org/10.1016/j.tcr.2018.11.002,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
foreign,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
foreign,null,null,null,null
foreign,null,null,null,null
forcep,null,null,null,null
forcep,null,null,null,null
forcep,null,null,null,null
foreign,null,null,null,null
null,null,SCM,null,null
forcep,null,null,null,null
Foreign,null,null,null,null
foreign,null,null,null,null
Trauma,null,null,null,null
foreign,null,null,null,null
trauma,null,null,null,null
null,removal,null,null,null
null,R.,null,null,null
null,R.,null,null,null
null,removal,null,null,null
foreign,null,null,null,null
television,null,null,null,null
null,Removal,null,null,null
foreign,null,null,null,null
null,null,S.C.,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
J.C.,null,null,null,null
null,R.,null,null,null
Penetrating,null,null,null,null
