B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
Pre-,null,null,null,null
null,null,ultrasound,null,null
null,null,2002,null,null
Army,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
null,null,Ultrasound,null,null
triage,null,null,null,null
pre-,null,null,null,null
null,management,null,null,null
null,null,ultrasound,null,null
null,transfusion,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,Ultrasound,null,null
healthy,null,null,null,null
paramedic,null,null,null,null
null,null,sonography,null,null
trauma,null,null,null,null
distended,null,null,null,null
Trauma,null,null,null,null
null,Transfusion,null,null,null
Trauma,null,null,null,null
null,null,2002,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
P.,null,null,null,null
Trauma,null,null,null,null
null,null,BK,null,null
null,null,null,null,Sternotomy
null,null,null,null,thoracotomy
penetrating,null,null,null,null
null,haemothorax,null,null,null
injuries,null,null,null,null
null,repaired,null,null,null
healthy,null,null,null,null
thorax,null,null,null,null
RR,null,null,null,null
null,null,null,null,thoracostomy
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,null,null,thoracotomy
null,null,null,null,surgery
null,removal,null,null,null
null,closure,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
decision-,null,null,null,null
P.,null,null,null,null
Trauma,null,null,null,null
photograph,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
null,null,ultrasound,null,null
null,transfusion,null,null,null
null,transfusion,null,null,null
Pre-,null,null,null,null
null,transfusion,null,null,null
null,null,null,null,Surgery
trauma,null,null,null,null
P.,null,null,null,null
null,Treatment,null,null,null
trauma,null,null,null,null
null,transfusion,null,null,null
null,null,null,null,thoracotomy
Trauma,null,null,null,null
null,PRBC,null,null,null
null,null,GRAM,null,null
null,null,null,null,thoracostomy
null,null,GRAM,null,null
haemorrhage,null,null,null,null
null,treatment,null,null,null
trauma,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,null,ultrasound,null,null
pre-,null,null,null,null
Trauma,null,null,null,null
hard,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
Injury,null,null,null,null
null,Management,null,null,null
null,null,RR,null,null
Trauma,null,null,null,null
null,null,Sonography,null,null
Trauma,null,null,null,null
null,Transfusion,null,null,null
AG,null,null,null,null
P.,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
haemorrhage,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
null,transfusion,null,null,null
trauma,null,null,null,null
null,’,null,null,null
trauma,null,null,null,null
null,’,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,’,null,null,null
haemorrhage,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
patent,null,null,null,null
pneumothorax,null,null,null,null
excluded,null,null,null,null
fractures,null,null,null,null
haemorrhage,null,null,null,null
Trauma,null,null,null,null
Injury,null,null,null,null
null,Management,null,null,null
P.,null,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
null,‘,null,null,null
null,’,null,null,null
trauma,null,null,null,null
null,’,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
null,Transfusion,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
Injury,null,null,null,null
null,Management,null,null,null
P.,null,null,null,null
Trauma,null,null,null,null
null,Evaluation,null,null,null
penetrating,null,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
null,null,ultrasound,null,null
thorax,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
Injury,null,null,null,null
null,null,FAST,null,null
null,null,sonography,null,null
trauma,null,null,null,null
injury,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
null,null,Ultrasound,null,null
injury,null,null,null,null
null,transfusion,null,null,null
null,null,US,null,null
Trauma,null,null,null,null
O.,null,null,null,null
C.R.,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
