B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,null,General,null
null,null,null,null,Surgery
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
explosion,null,null,null,null
inflating,null,null,null,null
tyres,null,null,null,null
loss,null,null,null,null
identified,null,null,null,null
null,null,null,general,null
null,null,null,general,null
pain,null,null,null,null
tenderness,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
hyperdense,null,null,null,null
oedema,null,null,null,null
hematomas,null,null,null,null
identified,null,null,null,null
hematoma,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
null,K.M.,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
hematomas,null,null,null,null
injury,null,null,null,null
null,null,null,null,laparotomy
null,null,null,null,laparotomy
hemoperitoneum,null,null,null,null
hematomas,null,null,null,null
hemicolectomy,null,null,null,null
null,null,null,null,laparotomy
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,imaging,null,null,null
trauma,null,null,null,null
null,stabilised,null,null,null
trauma,null,null,null,null
null,examination,null,null,null
thrombi,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
entities,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,K.M.,null,null,null
Trauma,null,null,null,null
displacement,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,repair,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
hematoma,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
barotrauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
Injuries,null,null,null,null
null,405–415,null,null,null
DePalma,null,null,null,null
null,M.J.,null,null,null
Injuries,null,null,null,null
Injuries,null,null,null,null
injuries,null,null,null,null
tyres,null,null,null,null
injury,null,null,null,null
Injury,null,null,null,null
null,null,(2009),null,null
injuries,null,null,null,null
F.,null,null,null,null
D.,null,null,null,null
null,R.,null,null,null
injuries,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
