B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
null,null,null,null,Surgery
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,removal,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,null,null,surgery
null,null,laparoscopy,null,null
injuries,null,null,null,null
injuries,null,null,null,null
Penetrating,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
loss,null,null,null,null
injury,null,null,null,null
null,removal,null,null,null
tenderness,null,null,null,null
null,examination,null,null,null
null,null,(CT),null,null
hematoma,null,null,null,null
null,null,radiograph,null,null
null,null,CT,null,null
leakage,null,null,null,null
null,null,null,null,laparotomy
injury,null,null,null,null
hematoma,null,null,null,null
injury,null,null,null,null
null,null,null,null,Surgery
Korea,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
pain,null,null,null,null
pain,null,null,null,null
null,null,CT,null,null
hematoma,null,null,null,null
injured,null,null,null,null
pain,null,null,null,null
null,drainage,null,null,null
null,null,graphy,null,null
null,diagnosis,null,null,null
injury,null,null,null,null
hematuria,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,Imaging,null,null,null
injury,null,null,null,null
null,null,pyelography,null,null
null,imaging,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,null,ultrasound,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,X-ray,null,null
leakage,null,null,null,null
injuries,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
injuries,null,null,null,null
injuries,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,imaging,null,null,null
injury,null,null,null,null
null,null,CT,null,null
extravasation,null,null,null,null
null,null,CT,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,null,CT,null,null
trauma,null,null,null,null
null,null,radiograph,null,null
injury,null,null,null,null
null,null,radiograph,null,null
leakage,null,null,null,null
null,repair,null,null,null
null,drainage,null,null,null
null,Management,null,null,null
depend,null,null,null,null
injury,null,null,null,null
injuries,null,null,null,null
principals,null,null,null,null
Trauma,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
misdiagnosis,null,null,null,null
injuries,null,null,null,null
injury,null,null,null,null
null,null,radiographs,null,null
injury,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
mechanisms,null,null,null,null
injury,null,null,null,null
N.,null,null,null,null
N.,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
null,management,null,null,null
N.,null,null,null,null
null,management,null,null,null
injury,null,null,null,null
L.,null,null,null,null
L.,null,null,null,null
R.A.,null,null,null,null
trauma,null,null,null,null
Penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,S.C.,null,null
null,null,Jacobs,null,null
injury,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
disruption,null,null,null,null
opaciﬁcation,null,null,null,null
disruption,null,null,null,null
null,null,CT,null,null
null,null,S.L.,null,null
null,J.P.,null,null,null
null,evaluation,null,null,null
trauma,null,null,null,null
null,J.P.,null,null,null
disruption,null,null,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,null,C.B.,null,null
injury,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
P.,null,null,null,null
P.,null,null,null,null
H.C.,null,null,null,null
null,null,CT,null,null
injuries,null,null,null,null
BMC,null,null,null,null
Urotrauma,null,null,null,null
