Link,Title
https://www.sciencedirect.com/science/article/pii/S2352644020300443/pdfft?md5=01d72c01d5aeadfede274df732231824&pid=1-s2.0-S2352644020300443-main.pdf,Editorial Board
https://www.sciencedirect.com/science/article/pii/S2352644020300273/pdfft?md5=5ff6c9cdaaf3e5853699f0c58fbbd5c8&pid=1-s2.0-S2352644020300273-main.pdf,Revision of a blade cut-out in PFN-A fixation: Blade exchange, cement augmentation and a cement plug as a successful salvage option
https://www.sciencedirect.com/science/article/pii/S2352644020300261/pdfft?md5=df191a755a150a32decce0fdaca3c927&pid=1-s2.0-S2352644020300261-main.pdf,Bilateral concomitant femoral neck stress fracture in a sedentary patient with anorexia nervosa
https://www.sciencedirect.com/science/article/pii/S2352644020300248/pdfft?md5=283a93ce580db05d666e003a605e3eb8&pid=1-s2.0-S2352644020300248-main.pdf,Emergency stabilisation by single-stage posterior transpedicular approach for treatment of unstable lumbar spine fracture with neurological injury
https://www.sciencedirect.com/science/article/pii/S2352644020300236/pdfft?md5=3266ed4363d91a417f8ba6253c7c2025&pid=1-s2.0-S2352644020300236-main.pdf,Spontaneous pubic symphysis disruption and concomitant bladder rupture during competitive squatting: A case report
https://www.sciencedirect.com/science/article/pii/S2352644020300285/pdfft?md5=1d6c293bb6cab3c4b0133efe89ab4080&pid=1-s2.0-S2352644020300285-main.pdf,Unique tooth dislocation into submental space during a pan facial trauma – Importance of an orthopantomogram
https://www.sciencedirect.com/science/article/pii/S235264402030025X/pdfft?md5=254695cdc14eb351da1204b511c3d65c&pid=1-s2.0-S235264402030025X-main.pdf,Unusual case of a migrating spinal bullet: An opportunity for reflection
https://www.sciencedirect.com/science/article/pii/S2352644020300224/pdfft?md5=9bd8fb93ae9e98dff167d63c1f3fde1d&pid=1-s2.0-S2352644020300224-main.pdf,Multiple-level cervical spine trauma in children: Case report and literature review
https://www.sciencedirect.com/science/article/pii/S2352644020300339/pdfft?md5=437b7ca463a4ba72abdd1317df031759&pid=1-s2.0-S2352644020300339-main.pdf,Pericardial rupture leading to cardiac herniation after blunt trauma
https://www.sciencedirect.com/science/article/pii/S2352644020300315/pdfft?md5=062b6d4c42df4c902e1c1ba4b5579f89&pid=1-s2.0-S2352644020300315-main.pdf,Transection of the origin of the innominate artery: A rare sequela of blunt traumatic chest trauma
https://www.sciencedirect.com/science/article/pii/S2352644020300303/pdfft?md5=3409df033fad9a599e157843abc0c62a&pid=1-s2.0-S2352644020300303-main.pdf,Intentional replantation with 180° rotation of a complicated crown-root fracture: A Case Report
https://www.sciencedirect.com/science/article/pii/S2352644020300297/pdfft?md5=fac1ba05a3a548388b39f8456040e20b&pid=1-s2.0-S2352644020300297-main.pdf,Delayed post-traumatic presentation of severe sternal osteomyelitis: A strong multidisciplinary effort and a novel reconstruction technique for a challenging case
