B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
trauma,null,null,null,null
disruption,null,null,null,null
L.,null,null,null,null
L.,null,null,null,null
null,null,null,null,Surgery
null,null,B15,null,null
null,2TT,null,null,null
Pneumothorax,null,null,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,null,general,null
trauma,null,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
haemopneumothorax,null,null,null,null
disruption,null,null,null,null
null,null,radiograph,null,null
null,null,echocardiography,null,null
penetrating,null,null,null,null
trauma,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
null,imaging,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
null,drained,null,null,null
injury,null,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
acceleration,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
contusion,null,null,null,null
null,null,echocardiography,null,null
null,diagnosis,null,null,null
null,imaging,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
disruption,null,null,null,null
injury,null,null,null,null
null,null,B15,null,null
null,2TT,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
null,haemothorax,null,null,null
fracture,null,null,null,null
disruption,null,null,null,null
null,null,radiographs,null,null
null,null,null,general,null
trauma,null,null,null,null
trauma,null,null,null,null
null,imaging,null,null,null
null,haemothorax,null,null,null
trauma,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
extravasation,null,null,null,null
injury,null,null,null,null
null,1b,null,null,null
injury,null,null,null,null
fracture,null,null,null,null
null,imaging,null,null,null
null,drained,null,null,null
null,haemothorax,null,null,null
null,transfusion,null,null,null
null,drainage,null,null,null
null,haemothorax,null,null,null
hemithorax,null,null,null,null
injury,null,null,null,null
disruption,null,null,null,null
null,null,radiograph,null,null
null,null,CT,null,null
null,imaging,null,null,null
null,MRI,null,null,null
cardiomyopathy,null,null,null,null
injury,null,null,null,null
contusion,null,null,null,null
Trauma,null,null,null,null
null,null,CT,null,null
null,imaging,null,null,null
null,MRI,null,null,null
excluded,null,null,null,null
null,null,echocardiography,null,null
null,drainage,null,null,null
loculations,null,null,null,null
contusion,null,null,null,null
injury,null,null,null,null
null,null,echocardiography,null,null
trauma,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
injuries,null,null,null,null
disruption,null,null,null,null
displacement,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
null,Treatment,null,null,null
null,therapy,null,null,null
injury,null,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
constructed,null,null,null,null
trauma,null,null,null,null
F.,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,R.,null,null,null
Fadel,null,null,null,null
injuries,null,null,null,null
113–119,null,null,null,null
null,R.,null,null,null
injury,null,null,null,null
null,null,287–295,null,null
