string1,string2,LevenshteinDistance,Jaro,JaroWinklerDistance
B-PI,B-PI,0,1.0,1.0
B-GOAL,B-GOAL,0,1.0,1.0
B-IM,B-IM,0,1.0,1.0
B-SurgicalPreparation,B-SurgicalPreparation,0,1.0,1.0
B-SurgicalProcedure,B-SurgicalProcedure,0,1.0,1.0
Trauma,Trauma,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,Trauma,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,fracture,7,1.0,1.0
repair,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,Alexandre,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,null,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,Surgery,6,1.0,1.0
null,P.O.,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Surgery,null,6,1.0,1.0
rupture,null,6,1.0,1.0
null,null,0,1.0,1.0
null,AIIS,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,treatment,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
thoracotomy,null,11,1.0,1.0
null,null,0,1.0,1.0
repair,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,surgery,6,1.0,1.0
rupture,fracture,3,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
driver,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,ORIF,4,1.0,1.0
trauma,lesions,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fracture,pain,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
patent,null,6,1.0,1.0
null,repair,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,precautions,10,1.0,1.0
null,null,0,1.0,1.0
sonography,null,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
trauma,fracture,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,pain,4,1.0,1.0
null,null,0,1.0,1.0
(FAST),null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
ultrasound,X-ray,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,MRI,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
thoracotomy,null,11,1.0,1.0
null,lesions,7,1.0,1.0
repaired,null,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,lesions,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Fasciotomy,null,10,1.0,1.0
null,D.,4,1.0,1.0
applied,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fracture,null,7,1.0,1.0
null,null,0,1.0,1.0
null,2352,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
infection,null,8,1.0,1.0
null,null,0,1.0,1.0
null,BY-NC,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
driver,Trauma,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,null,6,1.0,1.0
null,null,0,1.0,1.0
null,X-ray,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
pneumonia,null,7,1.0,1.0
null,null,0,1.0,1.0
null,X-ray,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
trauma,null,5,1.0,1.0
null,MRI,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,pain,4,1.0,1.0
repair,null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
penetrating,pain,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
injury,pain,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,pain,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
4169,trauma,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
injuries,null,6,1.0,1.0
null,null,0,1.0,1.0
null,X-ray,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
1972,CT,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
trauma,null,5,1.0,1.0
null,MRI,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,fracture,3,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
collisions,null,8,1.0,1.0
null,reduction,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,pain,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,pain,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,injuries,6,1.0,1.0
diagnosis,null,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
rupture,injury,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fracture,osteoar-,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
trauma,infection,9,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
driver,par-,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,femoris,7,1.0,1.0
examination,null,10,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fracture,injuries,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,mechanisms,8,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,injuries,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Surgery,null,6,1.0,1.0
Trauma,null,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,surgery,6,1.0,1.0
null,injury,4,1.0,1.0
null,null,0,1.0,1.0
2352,null,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,management,9,1.0,1.0
BY-NC,null,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,injuries,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,treatment,9,1.0,1.0
CT,null,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
fracture,null,7,1.0,1.0
null,null,0,1.0,1.0
null,X-ray,5,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,AIIS,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,fracture,7,1.0,1.0
null,null,0,1.0,1.0
®,null,4,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Sonography,CT,10,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
Trauma,null,5,1.0,1.0
null,reconstruction,12,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,AIIS,4,1.0,1.0
null,null,0,1.0,1.0
(FAST),null,6,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,fracture,7,1.0,1.0
haemothorax,null,11,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,MRI,4,1.0,1.0
Ultrasonography,null,14,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,fracture,7,1.0,1.0
drained,null,7,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,null,0,1.0,1.0
null,AIIS,4,1.0,1.0
stabilized,null,9,1.0,1.0
