B-PI,B-IM,B-SurgicalProcedure,B-GOAL
driver,null,null,null
null,null,null,examination
fracture,null,null,null
null,CT,null,null
fracture,null,null,null
Trauma,null,null,null
null,Sonography,null,null
Trauma,null,null,null
null,(FAST),null,null
null,null,null,haemothorax
null,Ultrasonography,null,null
null,null,null,drained
null,null,null,stabilized
leak,null,null,null
null,null,thoracotomy,null
null,null,null,repaired
fracture,null,null,null
null,null,null,applied
null,null,fasciotomy,null
infection,null,null,null
null,X-rays,null,null
null,null,null,physiotherapy
null,null,surgery,null
healthy,null,null,null
null,null,surgery,null
