Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-GOAL , repair
B-PI , rupture
B-PI , Trauma
B-SurgicalProcedure , Surgery
B-PI , rupture
B-SurgicalProcedure , thoracotomy
B-GOAL , repair
B-PI , rupture
B-PI , driver
B-PI , trauma
B-PI , fracture
B-PI , patent
B-IM , sonography
B-PI , trauma
B-IM , (FAST)
B-IM , ultrasound
B-SurgicalProcedure , thoracotomy
B-GOAL , repaired
B-SurgicalProcedure , Fasciotomy
B-GOAL , applied
B-PI , fracture
B-PI , infection
B-PI , driver
B-PI , rupture
B-PI , pneumonia
B-PI , trauma
B-GOAL , repair
B-PI , penetrating
B-PI , injury
B-PI , rupture
B-PI , 4169
B-PI , injuries
B-IM , 1972
B-PI , trauma
B-PI , rupture
B-PI , collisions
B-PI , rupture
B-PI , rupture
B-GOAL , diagnosis
B-PI , rupture
B-PI , fracture
B-PI , trauma
B-PI , driver
B-GOAL , examination
B-PI , fracture
B-PI , Trauma
B-SurgicalProcedure , Surgery
B-PI , Trauma
B-IM , 2352
B-IM , BY-NC
B-PI , Trauma
B-IM , CT
B-PI , fracture
B-PI , Trauma
B-IM , ®
B-IM , Sonography
B-PI , Trauma
B-IM , (FAST)
B-GOAL , haemothorax
B-IM , Ultrasonography
B-GOAL , drained
B-GOAL , stabilized
B-PI , leak
B-SurgicalProcedure , thoracotomy
B-GOAL , repaired
B-IM , ®
B-PI , fracture
B-GOAL , applied
B-SurgicalProcedure , fasciotomy
B-PI , infection
B-IM , X-rays
B-GOAL , physiotherapy
B-SurgicalProcedure , surgery
B-PI , healthy
B-SurgicalProcedure , surgery
B-PI , healthy
B-PI , driver
B-SurgicalProcedure , thoracotomy
B-PI , Trauma
B-PI , infection
B-PI , rupture
B-PI , injuries
B-PI , trauma
B-PI , contusion
B-PI , Trauma
B-PI , rupture
B-PI , rupture
B-PI , rupture
B-PI , trauma
B-PI , rupture
B-PI , rupture
B-PI , rupture
B-SurgicalProcedure , thoracotomy
B-GOAL , repair
B-PI , rupture
B-PI , rupture
B-PI , injury
B-GOAL , treatment
B-PI , rupture
B-PI , penetrating
B-PI , injury
B-SurgicalProcedure , thoracotomy
B-PI , rupture
B-SurgicalProcedure , sternotomy
B-SurgicalProcedure , bypass
B-SurgicalProcedure , laparotomy
B-PI , trauma
B-PI , trauma
B-GOAL , Observation
B-PI , rupture
B-PI , rupture
B-PI , injuries
B-PI , Hypotension
B-PI , loss
B-PI , injury
B-PI , distended
B-GOAL , diagnosis
B-PI , rupture
B-SurgicalProcedure , thoracotomy
B-PI , rupture
B-PI , penetrating
B-PI , injury
B-GOAL , examination
B-PI , rupture
B-GOAL , diagnosis
B-PI , hypotension
B-PI , haemorrhage
B-GOAL , es-
B-PI , rupture
B-PI , trauma
B-PI , pneumonia
B-GOAL , repair
B-PI , trauma
B-PI , injury
B-PI , hypotension
B-PI , sound
B-PI , sound
B-SurgicalProcedure , thoracotomy
B-PI , trauma
B-PI , rupture
B-GOAL , management
B-PI , trauma
B-IM , Arora
B-SurgicalProcedure , thoracotomy
B-GOAL , M.J.
B-PI , P.
B-PI , injuries
B-PI , Trauma
B-PI , A.N.
B-IM , S.V.
B-PI , Sukthankar
B-PI , rupture
B-PI , trauma
B-GOAL , management
B-PI , injuries
B-GOAL , diagnosis
B-PI , Trauma
B-PI , Trauma
B-PI , Trauma
B-PI , D.
B-PI , rupture
B-PI , trauma
B-PI , rupture
B-PI , Herbert
B-PI , rupture
B-GOAL , R.
B-PI , rupture
B-PI , rupture
B-PI , W.P.
B-PI , R.J.
B-PI , ruptured
B-PI , injury
B-PI , N.
B-PI , D.
B-PI , D.
B-SurgicalProcedure , thoracotomy
B-PI , P.
B-PI , K.S.
B-PI , injuries
B-PI , Trauma
