B-GOAL,B-PI,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
null,Trauma,null,null,null
null,Trauma,null,null,null
null,rupture,null,null,null
null,null,null,null,Surgery
null,LA,null,null,null
null,Trauma,null,null,null
null,null,null,null,Surgery
null,Trauma,null,null,null
null,Rupture,null,null,null
null,rupture,null,null,null
null,null,null,null,surgery
null,null,null,null,gastrostomy
null,disruption,null,null,null
null,injuries,null,null,null
null,declined,null,null,null
null,null,null,null,tracheostomy
null,null,null,null,gastrostomy
null,hemoperitoneum,null,null,null
null,null,null,null,splenectomy
null,rupture,null,null,null
null,rupture,null,null,null
null,disruption,null,null,null
null,hematoma,null,null,null
null,null,null,null,surgery
null,null,1980s,null,null
null,null,null,null,surgery
null,injury,null,null,null
null,injured,null,null,null
null,rupture,null,null,null
null,null,null,null,surgery
null,trauma,null,null,null
evaluation,null,null,null,null
null,null,Sonography,null,null
null,Trauma,null,null,null
null,null,(FAST),null,null
null,LA,null,null,null
R.,null,null,null,null
null,https://doi.org/10.1016/j.tcr.2019.100211,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
null,Trauma,null,null,null
null,null,CT,null,null
null,hematoma,null,null,null
null,hepatorenal,null,null,null
imaging,null,null,null,null
null,injuries,null,null,null
null,hemorrhage,null,null,null
null,fractures,null,null,null
null,fractures,null,null,null
null,hematomas,null,null,null
null,hematoma,null,null,null
null,extravasation,null,null,null
null,hematomas,null,null,null
null,deteriorate,null,null,null
null,null,CT,null,null
null,null,CT,null,null
null,encephalopathy,null,null,null
null,declined,null,null,null
null,null,null,null,tracheostomy
null,null,null,null,gastrostomy
null,null,null,sterile,null
null,null,null,null,tracheostomy
null,null,null,null,gastrostomy
null,hypotension,null,null,null
null,hemoperitoneum,null,null,null
null,hemorrhage,null,null,null
null,injury,null,null,null
null,parenchymal,null,null,null
null,hemorrhage,null,null,null
null,injury,null,null,null
null,rupture,null,null,null
null,null,null,null,gastrostomy
null,trauma,null,null,null
null,null,CT,null,null
null,hematoma,null,null,null
null,null,null,null,surgery
null,injury,null,null,null
null,hematoma,null,null,null
null,disruption,null,null,null
null,disruption,null,null,null
null,hematoma,null,null,null
null,injury,null,null,null
null,injury,null,null,null
null,null,null,null,splenectomy
null,injury,null,null,null
null,null,null,null,splenectomy
null,injury,null,null,null
null,hemi-,null,null,null
null,null,null,null,splenectomy
null,injury,null,null,null
null,null,laparoscopy,null,null
null,fifth,null,null,null
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,rupture,null,null,null
null,hematoma,null,null,null
null,rupture,null,null,null
null,null,null,null,Splenectomy
null,null,null,null,surgery
null,null,null,null,Surgery
null,null,null,null,cholecystectomy
null,null,null,null,cholecystectomy
null,null,null,null,surgery
null,null,laparoscopy,null,null
null,null,null,null,cholecystectomy
null,null,laparoscopy,null,null
null,null,laparoscopy,null,null
Exploration,null,null,null,null
null,null,laparoscopy,null,null
null,trauma,null,null,null
null,Trauma,null,null,null
Management,null,null,null,null
exploration,null,null,null,null
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
Repaired,null,null,null,null
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,null,null,splenectomy
null,null,null,null,laparotomy
null,null,splenorraphy,null,null
Fifth,null,null,null,null
Fifth,null,null,null,null
null,lesion,null,null,null
null,hematoma,null,null,null
null,hematoma,null,null,null
null,hematoma,null,null,null
null,hematoma,null,null,null
null,lesion,null,null,null
null,rupture,null,null,null
null,trauma,null,null,null
null,injury,null,null,null
null,rupture,null,null,null
null,null,ultrasound,null,null
evaluation,null,null,null,null
null,hematoma,null,null,null
null,injury,null,null,null
ePub,null,null,null,null
null,F.,null,null,null
null,null,null,null,surgery
null,null,null,null,K.
null,injury,null,null,null
null,null,null,null,surgery
null,R.P.,null,null,null
null,null,null,null,surgery
management,null,null,null,null
null,null,"S.L. Corson,",null,null
null,injuries,null,null,null
null,null,478–490,null,null
null,F.,null,null,null
null,rupture,null,null,null
null,null,null,null,cholecystectomy
null,rupture,null,null,null
null,null,null,null,cholecystectomy
null,BMC,null,null,null
null,Ruptured,null,null,null
null,null,laparoscopy,null,null
null,rupture,null,null,null
null,null,null,null,surgery
null,D.,null,null,null
null,L.,null,null,null
null,R.P.,null,null,null
null,Ruptured,null,null,null
null,null,null,null,cholecystectomy
null,A.E.,null,null,null
null,rupture,null,null,null
R.,null,null,null,null
null,lesion,null,null,null
null,null,laparoscopy,null,null
null,Rupture,null,null,null
null,null,laparoscopy,null,null
null,null,http://www.ncbi.nlm.nih.gov/pubmed/,null,null
null,Ruptured,null,null,null
null,null,laparoscopy,null,null
null,null,null,null,laparotomy
null,null,null,null,K.
null,Rupture,null,null,null
null,null,laparoscopy,null,null
null,injury,null,null,null
R.,null,null,null,null
null,Trauma,null,null,null
null,mechanisms,null,null,null
null,injury,null,null,null
null,null,null,null,surgery
null,null,S.P.,null,null
null,null,null,null,splenectomy
null,null,null,null,nephrectomy
null,P.,null,null,null
null,null,null,null,splenectomy
null,null,null,null,nephrectomy
null,null,1111,null,null
