B-GOAL,B-PI,B-SurgicalProcedure,B-IM
null,Trauma,null,null
null,null,null,100295
null,Trauma,null,null
null,hematoma,null,null
R.,null,null,null
null,null,Surgery,null
null,null,null,Osteopathic
null,hematoma,null,null
null,trauma,null,null
null,hematoma,null,null
null,hematoma,null,null
null,neurosurgeon,null,null
null,hematoma,null,null
null,hemorrhage,null,null
null,injuries,null,null
null,injuries,null,null
null,hematomas,null,null
null,hematoma,null,null
null,injuries,null,null
null,hematoma,null,null
null,ensure,null,null
null,trauma,null,null
null,loss,null,null
evaluation,null,null,null
application,null,null,null
null,trauma,null,null
evaluation,null,null,null
examination,null,null,null
null,null,Surgery,null
null,null,null,2352
null,null,null,BY-NC
null,Trauma,null,null
null,null,null,100295
imaging,null,null,null
null,swelling,null,null
null,injuries,null,null
null,trauma,null,null
null,trauma,null,null
null,null,null,CT
null,hematoma,null,null
null,hematoma,null,null
null,hyperdense,null,null
null,extravasation,null,null
null,lesions,null,null
null,null,craniotomy,null
null,hematoma,null,null
therapy,null,null,null
null,hematomas,null,null
null,hemorrhage,null,null
null,hematomas,null,null
null,injury,null,null
null,injury,null,null
null,hemorrhage,null,null
null,trauma,null,null
null,hematoma,null,null
null,deterioration,null,null
null,hematoma,null,null
null,injury,null,null
null,hematomas,null,null
null,injury,null,null
null,hemorrhage,null,null
null,treated,null,null
null,null,surgery,null
null,injury,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,injuries,null,null
null,hematoma,null,null
null,loss,null,null
null,vomiting,null,null
null,Trauma,null,null
null,null,null,100295
null,dizziness,null,null
null,deterioration,null,null
null,beginning,null,null
null,injury,null,null
null,injury,null,null
null,hematoma,null,null
null,null,null,CT
null,trauma,null,null
imaging,null,null,null
null,hematoma,null,null
null,injuries,null,null
null,null,null,US
R.,null,null,null
null,R.C.,null,null
null,injury,null,null
null,fatalities,null,null
null,Neurosurgery,null,null
null,R.P.,null,null
null,null,null,S.C.
null,hematoma,null,null
reduction,null,null,null
null,N.,null,null
treatment,null,null,null
null,injury,null,null
null,Neurosurgery,null,null
null,injuries,null,null
null,R.C.,null,null
null,injuries,null,null
null,null,null,S.P.
null,injuries,null,null
51–73,null,null,null
null,null,null,S.P.
null,injuries,null,null
J.P.,null,null,null
null,injuries,null,null
null,R.C.,null,null
null,null,null,S.B.
null,null,null,Catastrophic
null,injuries,null,null
