Attributes,Values
B-PI , Trauma
B-PI , Trauma
B-PI , fracture
B-PI , Alexandre
B-SurgicalProcedure , Surgery
B-PI , P.O.
B-IM , AIIS
B-GOAL , treatment
B-SurgicalProcedure , surgery
B-PI , fracture
B-SurgicalProcedure , ORIF
B-PI , lesions
B-PI , pain
B-GOAL , repair
B-PI , precautions
B-PI , fracture
B-PI , pain
B-IM , X-ray
B-GOAL , MRI
B-PI , lesions
B-PI , lesions
B-PI , D.
B-IM , 2352
B-IM , BY-NC
B-PI , Trauma
B-IM , X-ray
B-IM , X-ray
B-GOAL , MRI
B-PI , pain
B-PI , pain
B-PI , pain
B-PI , pain
B-PI , trauma
B-IM , X-ray
B-IM , CT
B-GOAL , MRI
B-PI , fracture
B-GOAL , reduction
B-PI , pain
B-PI , pain
B-PI , injuries
B-PI , injury
B-PI , osteoar-
B-PI , infection
B-PI , par-
B-PI , femoris
B-PI , injuries
B-PI , mechanisms
B-PI , injuries
B-SurgicalProcedure , surgery
B-PI , injury
B-GOAL , management
B-PI , injuries
B-GOAL , treatment
B-IM , X-ray
B-PI , AIIS
B-PI , fracture
B-IM , CT
B-GOAL , reconstruction
B-PI , AIIS
B-PI , fracture
B-GOAL , MRI
B-PI , fracture
B-PI , AIIS
B-PI , Trauma
B-PI , AIIS
B-GOAL , reduction
B-GOAL , treatment
B-PI , AIIS
B-GOAL , treatment
B-SurgicalProcedure , surgery
B-PI , fracture
B-PI , fracture
B-PI , trauma
B-GOAL , management
B-PI , AIIS
B-PI , fractures
B-GOAL , repair
B-SurgicalProcedure , surgery
B-PI , Alexandre
B-GOAL , Y.J.
B-SurgicalProcedure , Surgery
B-PI , K.S.
B-GOAL , management
B-GOAL , treatment
B-IM , radiographic
B-GOAL , R.
B-SurgicalProcedure , surgery
B-PI , British
B-IM , V.M.
B-GOAL , treatment
B-GOAL , B.M.
B-GOAL , R.
B-PI , femoris
B-SurgicalProcedure , Surgery
B-GOAL , M.J.
B-IM , Schenker
B-PI , R.B.
B-GOAL , R.
B-GOAL , management
B-PI , Trauma
B-IM , S.C.
B-PI , R.H.
B-GOAL , R.
B-GOAL , treatment
B-PI , femoris
B-PI , J.C.
B-PI , femoris
