B-PI,B-SurgicalProcedure,B-IM,B-GOAL
Trauma,null,null,null
Trauma,null,null,null
rupture,null,null,null
null,null,null,O'Keeffe
L.,null,null,null
null,Surgery,null,null
null,Surgery,null,null
null,null,245603,null
Injury,null,null,null
rupture,null,null,null
injury,null,null,null
null,null,BY,null
rupture,null,null,null
null,null,(CT),null
assumption,null,null,null
null,null,null,diagnosis
injury,null,null,null
injury,null,null,null
trauma,null,null,null
injuries,null,null,null
injury,null,null,null
N.,null,null,null
null,null,2352,null
Trauma,null,null,null
rupture,null,null,null
null,null,null,diagnosis
trauma,null,null,null
null,null,al.b,null
al.e,null,null,null
null,null,null,28(3
Trauma,null,null,null
Trauma,null,null,null
injuries,null,null,null
fractures,null,null,null
rupture,null,null,null
herniating,null,null,null
null,laparotomy,null,null
null,null,null,repair
null,null,null,ventilator
null,null,sound,null
injury,null,null,null
null,null,CT,null
injury,null,null,null
null,null,X-ray,null
null,null,radiographic,null
injury,null,null,null
Trauma,null,null,null
null,null,laparoscopy,null
herniating,null,null,null
null,null,null,repair
rupture,null,null,null
trauma,null,null,null
injury,null,null,null
injury,null,null,null
injury,null,null,null
null,null,null,exploration
null,null,null,repair
injury,null,null,null
injury,null,null,null
rupture,null,null,null
injury,null,null,null
null,null,null,exploration
injury,null,null,null
injury,null,null,null
injury,null,null,null
injury,null,null,null
tion,null,null,null
null,null,Karmy,null
null,null,null,ventilator
trauma,null,null,null
null,null,CT,null
null,null,ﬁnd-,null
injury,null,null,null
herniating,null,null,null
injury,null,null,null
herniating,null,null,null
Trauma,null,null,null
null,null,CT,null
injury,null,null,null
injury,null,null,null
trauma,null,null,null
null,null,CT,null
null,null,null,diagnosis
P.,null,null,null
rupture,null,null,null
trauma,null,null,null
null,null,"S.L. Starnes,",null
injury,null,null,null
trauma,null,null,null
null,Surgery,null,null
null,null,null,R.
null,null,Karmy,null
injury,null,null,null
rupture,null,null,null
