B-SurgicalPreparation,B-PI,B-SurgicalProcedure,B-GOAL,B-IM
null,Trauma,null,null,null
null,Trauma,null,null,null
null,rupture,null,null,null
null,AlMahmoudb,null,null,null
null,null,null,Fikri,null
null,null,Surgery,null,null
null,null,Surgery,null,null
null,injury,null,null,null
null,rupture,null,null,null
null,Trauma,null,null,null
null,injuries,null,null,null
null,injuries,null,null,null
null,injuries,null,null,null
null,Injuries,null,null,null
null,fractures,null,null,null
null,injuries,null,null,null
null,injury,null,null,null
null,injury,null,null,null
null,rupture,null,null,null
null,injury,null,null,null
null,null,null,examination,null
null,hemorrhage,null,null,null
null,null,Surgery,null,null
null,null,null,null,2352
null,null,null,null,BY-NC
null,null,K.,null,null
null,Trauma,null,null,null
null,injury,null,null,null
null,injury,null,null,null
null,trauma,null,null,null
null,null,null,null,(CT)
null,injuries,null,null,null
null,null,null,null,CT
null,fracture,null,null,null
null,fracture,null,null,null
null,hematoma,null,null,null
null,fracture,null,null,null
null,displacement,null,null,null
null,opaciﬁcation,null,null,null
null,loss,null,null,null
null,null,null,null,CT
null,injury,null,null,null
null,null,null,null,CT
null,null,null,null,angiographic
null,extravasation,null,null,null
general,null,null,null,null
anesthesia,null,null,null,null
null,null,null,repaired,null
null,null,null,examination,null
null,penetrating,null,null,null
null,null,null,repaired,null
null,fracture,null,null,null
null,null,null,reduction,null
null,null,null,null,CT
null,opaciﬁcation,null,null,null
null,fracture,null,null,null
null,herniation,null,null,null
null,null,K.,null,null
null,Trauma,null,null,null
general,null,null,null,null
null,injuries,null,null,null
null,injured,null,null,null
null,season,null,null,null
null,fractures,null,null,null
null,fractures,null,null,null
null,injuries,null,null,null
null,injuries,null,null,null
null,injuries,null,null,null
null,injuries,null,null,null
null,penetrating,null,null,null
null,injuries,null,null,null
null,injuries,null,null,null
null,injury,null,null,null
null,fractures,null,null,null
null,injuries,null,null,null
null,rupture,null,null,null
null,injury,null,null,null
null,penetrating,null,null,null
null,injury,null,null,null
null,trauma,null,null,null
null,injury,null,null,null
null,injuries,null,null,null
null,null,null,repaired,null
null,null,null,exploration,null
null,injuries,null,null,null
null,null,null,repair,null
null,injury,null,null,null
null,injuries,null,null,null
null,null,K.,null,null
null,Trauma,null,null,null
null,injuries,null,null,null
null,Injury,null,null,null
null,null,null,null,(2012)
null,injuries,null,null,null
null,Injury,null,null,null
null,injuries,null,null,null
null,null,null,R.,null
null,injury,null,null,null
null,injuries,null,null,null
null,null,null,null,(2002)
null,O.,null,null,null
null,O.,null,null,null
null,injury,null,null,null
null,null,null,Management,null
null,injuries,null,null,null
null,N.,null,null,null
null,trauma,null,null,null
null,null,null,treatment,null
null,Trauma,null,null,null
null,injury,null,null,null
null,null,null,repair,null
null,Injury,null,null,null
null,407–409,null,null,null
