B-PI,B-GOAL,B-IM,B-SurgicalPreparation,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
null,repair,null,null,null
rupture,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
rupture,null,null,null,null
null,null,null,null,thoracotomy
null,repair,null,null,null
rupture,null,null,null,null
driver,null,null,null,null
trauma,null,null,null,null
fracture,null,null,null,null
patent,null,null,null,null
null,null,sonography,null,null
trauma,null,null,null,null
null,null,(FAST),null,null
null,null,ultrasound,null,null
null,null,null,null,thoracotomy
null,repaired,null,null,null
null,null,null,null,Fasciotomy
null,applied,null,null,null
fracture,null,null,null,null
infection,null,null,null,null
driver,null,null,null,null
rupture,null,null,null,null
pneumonia,null,null,null,null
trauma,null,null,null,null
null,repair,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
rupture,null,null,null,null
4169,null,null,null,null
injuries,null,null,null,null
null,null,1972,null,null
trauma,null,null,null,null
rupture,null,null,null,null
collisions,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
null,diagnosis,null,null,null
rupture,null,null,null,null
fracture,null,null,null,null
trauma,null,null,null,null
driver,null,null,null,null
null,examination,null,null,null
fracture,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,Surgery
Trauma,null,null,null,null
null,null,2352,null,null
null,null,BY-NC,null,null
Trauma,null,null,null,null
null,null,CT,null,null
fracture,null,null,null,null
Trauma,null,null,null,null
null,null,®,null,null
null,null,Sonography,null,null
Trauma,null,null,null,null
null,null,(FAST),null,null
null,haemothorax,null,null,null
null,null,Ultrasonography,null,null
null,drained,null,null,null
null,stabilized,null,null,null
leak,null,null,null,null
null,null,null,null,thoracotomy
null,repaired,null,null,null
null,null,®,null,null
fracture,null,null,null,null
null,applied,null,null,null
null,null,null,null,fasciotomy
infection,null,null,null,null
null,null,X-rays,null,null
null,physiotherapy,null,null,null
null,null,null,null,surgery
healthy,null,null,null,null
null,null,null,null,surgery
healthy,null,null,null,null
driver,null,null,null,null
null,null,null,null,thoracotomy
Trauma,null,null,null,null
infection,null,null,null,null
rupture,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
contusion,null,null,null,null
Trauma,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
null,null,null,null,thoracotomy
null,repair,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
injury,null,null,null,null
null,treatment,null,null,null
rupture,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,null,null,null,thoracotomy
rupture,null,null,null,null
null,null,null,null,sternotomy
null,null,null,null,bypass
null,null,null,null,laparotomy
trauma,null,null,null,null
trauma,null,null,null,null
null,Observation,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
injuries,null,null,null,null
Hypotension,null,null,null,null
loss,null,null,null,null
injury,null,null,null,null
distended,null,null,null,null
null,diagnosis,null,null,null
rupture,null,null,null,null
null,null,null,null,thoracotomy
rupture,null,null,null,null
penetrating,null,null,null,null
injury,null,null,null,null
null,examination,null,null,null
rupture,null,null,null,null
null,diagnosis,null,null,null
hypotension,null,null,null,null
haemorrhage,null,null,null,null
null,es-,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
pneumonia,null,null,null,null
null,repair,null,null,null
trauma,null,null,null,null
injury,null,null,null,null
hypotension,null,null,null,null
sound,null,null,null,null
sound,null,null,null,null
null,null,null,null,thoracotomy
trauma,null,null,null,null
rupture,null,null,null,null
null,management,null,null,null
trauma,null,null,null,null
null,null,Arora,null,null
null,null,null,null,thoracotomy
null,M.J.,null,null,null
P.,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
A.N.,null,null,null,null
null,null,S.V.,null,null
Sukthankar,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
null,management,null,null,null
injuries,null,null,null,null
null,diagnosis,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
Trauma,null,null,null,null
D.,null,null,null,null
rupture,null,null,null,null
trauma,null,null,null,null
rupture,null,null,null,null
Herbert,null,null,null,null
rupture,null,null,null,null
null,R.,null,null,null
rupture,null,null,null,null
rupture,null,null,null,null
W.P.,null,null,null,null
R.J.,null,null,null,null
ruptured,null,null,null,null
injury,null,null,null,null
N.,null,null,null,null
D.,null,null,null,null
D.,null,null,null,null
null,null,null,null,thoracotomy
P.,null,null,null,null
K.S.,null,null,null,null
injuries,null,null,null,null
Trauma,null,null,null,null
