B-SurgicalProcedure,B-PI,B-GOAL,B-IM
null,Trauma,null,null
null,Trauma,null,null
null,null,repair,null
null,rupture,null,null
null,Trauma,null,null
Surgery,null,null,null
null,rupture,null,null
thoracotomy,null,null,null
null,null,repair,null
null,rupture,null,null
null,driver,null,null
null,trauma,null,null
null,fracture,null,null
null,patent,null,null
null,null,null,sonography
null,trauma,null,null
null,null,null,(FAST)
null,null,null,ultrasound
thoracotomy,null,null,null
null,null,repaired,null
Fasciotomy,null,null,null
null,null,applied,null
null,fracture,null,null
null,infection,null,null
null,driver,null,null
null,rupture,null,null
null,pneumonia,null,null
null,trauma,null,null
null,null,repair,null
null,penetrating,null,null
null,injury,null,null
null,rupture,null,null
null,4169,null,null
null,injuries,null,null
null,null,null,1972
null,trauma,null,null
null,rupture,null,null
null,collisions,null,null
null,rupture,null,null
null,rupture,null,null
null,null,diagnosis,null
null,rupture,null,null
null,fracture,null,null
null,trauma,null,null
null,driver,null,null
null,null,examination,null
null,fracture,null,null
null,Trauma,null,null
Surgery,null,null,null
null,Trauma,null,null
null,null,null,2352
null,null,null,BY-NC
null,Trauma,null,null
null,null,null,CT
null,fracture,null,null
null,Trauma,null,null
null,null,null,®
null,null,null,Sonography
null,Trauma,null,null
null,null,null,(FAST)
null,null,haemothorax,null
null,null,null,Ultrasonography
null,null,drained,null
null,null,stabilized,null
null,leak,null,null
thoracotomy,null,null,null
null,null,repaired,null
null,null,null,®
null,fracture,null,null
null,null,applied,null
fasciotomy,null,null,null
null,infection,null,null
null,null,null,X-rays
null,null,physiotherapy,null
surgery,null,null,null
null,healthy,null,null
surgery,null,null,null
null,healthy,null,null
null,driver,null,null
thoracotomy,null,null,null
null,Trauma,null,null
null,infection,null,null
null,rupture,null,null
null,injuries,null,null
null,trauma,null,null
null,contusion,null,null
null,Trauma,null,null
null,rupture,null,null
null,rupture,null,null
null,rupture,null,null
null,trauma,null,null
null,rupture,null,null
null,rupture,null,null
null,rupture,null,null
thoracotomy,null,null,null
null,null,repair,null
null,rupture,null,null
null,rupture,null,null
null,injury,null,null
null,null,treatment,null
null,rupture,null,null
null,penetrating,null,null
null,injury,null,null
thoracotomy,null,null,null
null,rupture,null,null
sternotomy,null,null,null
bypass,null,null,null
laparotomy,null,null,null
null,trauma,null,null
null,trauma,null,null
null,null,Observation,null
null,rupture,null,null
null,rupture,null,null
null,injuries,null,null
null,Hypotension,null,null
null,loss,null,null
null,injury,null,null
null,distended,null,null
null,null,diagnosis,null
null,rupture,null,null
thoracotomy,null,null,null
null,rupture,null,null
null,penetrating,null,null
null,injury,null,null
null,null,examination,null
null,rupture,null,null
null,null,diagnosis,null
null,hypotension,null,null
null,haemorrhage,null,null
null,null,es-,null
null,rupture,null,null
null,trauma,null,null
null,pneumonia,null,null
null,null,repair,null
null,trauma,null,null
null,injury,null,null
null,hypotension,null,null
null,sound,null,null
null,sound,null,null
thoracotomy,null,null,null
null,trauma,null,null
null,rupture,null,null
null,null,management,null
null,trauma,null,null
null,null,null,Arora
thoracotomy,null,null,null
null,null,M.J.,null
null,P.,null,null
null,injuries,null,null
null,Trauma,null,null
null,A.N.,null,null
null,null,null,S.V.
null,Sukthankar,null,null
null,rupture,null,null
null,trauma,null,null
null,null,management,null
null,injuries,null,null
null,null,diagnosis,null
null,Trauma,null,null
null,Trauma,null,null
null,Trauma,null,null
null,D.,null,null
null,rupture,null,null
null,trauma,null,null
null,rupture,null,null
null,Herbert,null,null
null,rupture,null,null
null,null,R.,null
null,rupture,null,null
null,rupture,null,null
null,W.P.,null,null
null,R.J.,null,null
null,ruptured,null,null
null,injury,null,null
null,N.,null,null
null,D.,null,null
null,D.,null,null
thoracotomy,null,null,null
null,P.,null,null
null,K.S.,null,null
null,injuries,null,null
null,Trauma,null,null
