B-GOAL,B-IM,B-SurgicalProcedure,B-PI
null,null,null,Trauma
null,null,null,Trauma
null,null,null,fracture
null,null,null,Alexandre
null,null,Surgery,null
null,null,null,P.O.
null,AIIS,null,null
treatment,null,null,null
null,null,surgery,null
null,null,null,fracture
null,null,ORIF,null
null,null,null,lesions
null,null,null,pain
repair,null,null,null
null,null,null,precautions
null,null,null,fracture
null,null,null,pain
null,X-ray,null,null
MRI,null,null,null
null,null,null,lesions
null,null,null,lesions
null,null,null,D.
null,2352,null,null
null,BY-NC,null,null
null,null,null,Trauma
null,X-ray,null,null
null,X-ray,null,null
MRI,null,null,null
null,null,null,pain
null,null,null,pain
null,null,null,pain
null,null,null,pain
null,null,null,trauma
null,X-ray,null,null
null,CT,null,null
MRI,null,null,null
null,null,null,fracture
reduction,null,null,null
null,null,null,pain
null,null,null,pain
null,null,null,injuries
null,null,null,injury
null,null,null,osteoar-
null,null,null,infection
null,null,null,par-
null,null,null,femoris
null,null,null,injuries
null,null,null,mechanisms
null,null,null,injuries
null,null,surgery,null
null,null,null,injury
management,null,null,null
null,null,null,injuries
treatment,null,null,null
null,X-ray,null,null
null,null,null,AIIS
null,null,null,fracture
null,CT,null,null
reconstruction,null,null,null
null,null,null,AIIS
null,null,null,fracture
MRI,null,null,null
null,null,null,fracture
null,null,null,AIIS
null,null,null,Trauma
null,null,null,AIIS
reduction,null,null,null
treatment,null,null,null
null,null,null,AIIS
treatment,null,null,null
null,null,surgery,null
null,null,null,fracture
null,null,null,fracture
null,null,null,trauma
management,null,null,null
null,null,null,AIIS
null,null,null,fractures
repair,null,null,null
null,null,surgery,null
null,null,null,Alexandre
Y.J.,null,null,null
null,null,Surgery,null
null,null,null,K.S.
management,null,null,null
treatment,null,null,null
null,radiographic,null,null
R.,null,null,null
null,null,surgery,null
null,null,null,British
null,V.M.,null,null
treatment,null,null,null
B.M.,null,null,null
R.,null,null,null
null,null,null,femoris
null,null,Surgery,null
M.J.,null,null,null
null,Schenker,null,null
null,null,null,R.B.
R.,null,null,null
management,null,null,null
null,null,null,Trauma
null,S.C.,null,null
null,null,null,R.H.
R.,null,null,null
treatment,null,null,null
null,null,null,femoris
null,null,null,J.C.
null,null,null,femoris
