B-PI,B-GOAL,B-SurgicalProcedure,B-IM
Trauma,null,null,null
Trauma,null,null,null
fracture,null,null,null
Alexandre,null,null,null
null,null,Surgery,null
P.O.,null,null,null
null,null,null,AIIS
null,treatment,null,null
null,null,surgery,null
fracture,null,null,null
null,null,ORIF,null
lesions,null,null,null
pain,null,null,null
null,repair,null,null
precautions,null,null,null
fracture,null,null,null
pain,null,null,null
null,null,null,X-ray
null,MRI,null,null
lesions,null,null,null
lesions,null,null,null
D.,null,null,null
null,null,null,2352
null,null,null,BY-NC
Trauma,null,null,null
null,null,null,X-ray
null,null,null,X-ray
null,MRI,null,null
pain,null,null,null
pain,null,null,null
pain,null,null,null
pain,null,null,null
trauma,null,null,null
null,null,null,X-ray
null,null,null,CT
null,MRI,null,null
fracture,null,null,null
null,reduction,null,null
pain,null,null,null
pain,null,null,null
injuries,null,null,null
injury,null,null,null
osteoar-,null,null,null
infection,null,null,null
par-,null,null,null
femoris,null,null,null
injuries,null,null,null
mechanisms,null,null,null
injuries,null,null,null
null,null,surgery,null
injury,null,null,null
null,management,null,null
injuries,null,null,null
null,treatment,null,null
null,null,null,X-ray
AIIS,null,null,null
fracture,null,null,null
null,null,null,CT
null,reconstruction,null,null
AIIS,null,null,null
fracture,null,null,null
null,MRI,null,null
fracture,null,null,null
AIIS,null,null,null
Trauma,null,null,null
AIIS,null,null,null
null,reduction,null,null
null,treatment,null,null
AIIS,null,null,null
null,treatment,null,null
null,null,surgery,null
fracture,null,null,null
fracture,null,null,null
trauma,null,null,null
null,management,null,null
AIIS,null,null,null
fractures,null,null,null
null,repair,null,null
null,null,surgery,null
Alexandre,null,null,null
null,Y.J.,null,null
null,null,Surgery,null
K.S.,null,null,null
null,management,null,null
null,treatment,null,null
null,null,null,radiographic
null,R.,null,null
null,null,surgery,null
British,null,null,null
null,null,null,V.M.
null,treatment,null,null
null,B.M.,null,null
null,R.,null,null
femoris,null,null,null
null,null,Surgery,null
null,M.J.,null,null
null,null,null,Schenker
R.B.,null,null,null
null,R.,null,null
null,management,null,null
Trauma,null,null,null
null,null,null,S.C.
R.H.,null,null,null
null,R.,null,null
null,treatment,null,null
femoris,null,null,null
J.C.,null,null,null
femoris,null,null,null
