B-PI,B-GOAL,B-SurgicalProcedure,B-IM
Trauma,null,null,null
Trauma,null,null,null
null,treatment,null,null
fracture,null,null,null
null,R.,null,null
Trauma,null,null,null
null,null,Surgery,null
Trauma,null,null,null
null,null,Surgery,null
fractures,null,null,null
fractures,null,null,null
fractures,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
fractures,null,null,null
fracture,null,null,null
fractures,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
pain,null,null,null
inability,null,null,null
trauma,null,null,null
null,examination,null,null
swelling,null,null,null
ecchymosis,null,null,null
tenderness,null,null,null
painful,null,null,null
trauma,null,null,null
null,null,null,Radiographs
fracture,null,null,null
fracture,null,null,null
null,null,surgery,null
Trauma,null,null,null
null,null,Surgery,null
null,null,null,249203
https://doi.org/10.1016/j.tcr.2020.100348,null,null,null
null,null,null,2352
null,null,null,BY-NC
Trauma,null,null,null
null,null,null,radiograph
fracture,null,null,null
null,null,null,radiograph
fracture,null,null,null
null,null,null,radiograph
null,null,null,radiograph
null,reduction,null,null
PFNA2,null,null,null
null,null,null,Radiographs
Trauma,null,null,null
null,null,null,radiograph
PFNA2,null,null,null
null,reduction,null,null
null,null,null,radiograph
PFNA2,null,null,null
null,reduction,null,null
fractures,null,null,null
hypertension,null,null,null
osteoporosis,null,null,null
null,null,surgery,null
null,null,surgery,null
null,treatment,null,null
null,treatment,null,null
Trauma,null,null,null
fractures,null,null,null
fracture,null,null,null
fractures,null,null,null
null,management,null,null
fractures,null,null,null
Trauma,null,null,null
pain,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
trauma,null,null,null
question,null,null,null
fractures,null,null,null
fracture,null,null,null
fracture,null,null,null
accepting,null,null,null
question,null,null,null
institu-,null,null,null
materials,null,null,null
D.,null,null,null
N.,null,null,null
fracture,null,null,null
fracture,null,null,null
fracture,null,null,null
Fracture,null,null,null
Trauma,null,null,null
null,R.,null,null
fractures,null,null,null
Trauma,null,null,null
P.,null,null,null
fractures,null,null,null
fractures,null,null,null
null,Ş.,null,null
F.,null,null,null
Trauma,null,null,null
fracture,null,null,null
null,treatment,null,null
fractures,null,null,null
128–133,null,null,null
F.,null,null,null
null,treatment,null,null
fractures,null,null,null
null,R.,null,null
P.,null,null,null
P.,null,null,null
fractures,null,null,null
Injury,null,null,null
Injury,null,null,null
null,R.,null,null
Trauma,null,null,null
N.,null,null,null
fractures,null,null,null
null,null,null,MOJOR
fractures,null,null,null
fractures,null,null,null
Injury,null,null,null
