B-SurgicalProcedure,B-GOAL,B-IM,B-PI
null,null,null,Trauma
null,null,null,Trauma
null,treatment,null,null
null,null,null,fracture
null,R.,null,null
null,null,null,Trauma
Surgery,null,null,null
null,null,null,Trauma
Surgery,null,null,null
null,null,null,fractures
null,null,null,fractures
null,null,null,fractures
null,null,null,fractures
null,null,null,fracture
null,null,null,fracture
null,null,null,fractures
null,null,null,fracture
null,null,null,fractures
null,null,null,fractures
null,null,null,fracture
null,null,null,fracture
null,null,null,pain
null,null,null,inability
null,null,null,trauma
null,examination,null,null
null,null,null,swelling
null,null,null,ecchymosis
null,null,null,tenderness
null,null,null,painful
null,null,null,trauma
null,null,Radiographs,null
null,null,null,fracture
null,null,null,fracture
surgery,null,null,null
null,null,null,Trauma
Surgery,null,null,null
null,null,249203,null
null,null,null,https://doi.org/10.1016/j.tcr.2020.100348
null,null,2352,null
null,null,BY-NC,null
null,null,null,Trauma
null,null,radiograph,null
null,null,null,fracture
null,null,radiograph,null
null,null,null,fracture
null,null,radiograph,null
null,null,radiograph,null
null,reduction,null,null
null,null,null,PFNA2
null,null,Radiographs,null
null,null,null,Trauma
null,null,radiograph,null
null,null,null,PFNA2
null,reduction,null,null
null,null,radiograph,null
null,null,null,PFNA2
null,reduction,null,null
null,null,null,fractures
null,null,null,hypertension
null,null,null,osteoporosis
surgery,null,null,null
surgery,null,null,null
null,treatment,null,null
null,treatment,null,null
null,null,null,Trauma
null,null,null,fractures
null,null,null,fracture
null,null,null,fractures
null,management,null,null
null,null,null,fractures
null,null,null,Trauma
null,null,null,pain
null,null,null,fractures
null,null,null,fracture
null,null,null,fracture
null,null,null,fracture
null,null,null,trauma
null,null,null,question
null,null,null,fractures
null,null,null,fracture
null,null,null,fracture
null,null,null,accepting
null,null,null,question
null,null,null,institu-
null,null,null,materials
null,null,null,D.
null,null,null,N.
null,null,null,fracture
null,null,null,fracture
null,null,null,fracture
null,null,null,Fracture
null,null,null,Trauma
null,R.,null,null
null,null,null,fractures
null,null,null,Trauma
null,null,null,P.
null,null,null,fractures
null,null,null,fractures
null,Ş.,null,null
null,null,null,F.
null,null,null,Trauma
null,null,null,fracture
null,treatment,null,null
null,null,null,fractures
null,null,null,128–133
null,null,null,F.
null,treatment,null,null
null,null,null,fractures
null,R.,null,null
null,null,null,P.
null,null,null,P.
null,null,null,fractures
null,null,null,Injury
null,null,null,Injury
null,R.,null,null
null,null,null,Trauma
null,null,null,N.
null,null,null,fractures
null,null,MOJOR,null
null,null,null,fractures
null,null,null,fractures
null,null,null,Injury
