B-SurgicalPreparation,B-GOAL,B-SurgicalProcedure,B-PI,B-IM
null,null,null,Trauma,null
null,null,null,Trauma,null
null,null,null,trauma,null
null,null,null,disruption,null
null,null,null,L.,null
null,null,null,L.,null
null,null,Surgery,null,null
null,null,null,null,B15
null,2TT,null,null,null
null,null,null,Pneumothorax,null
null,null,null,penetrating,null
null,null,null,trauma,null
null,null,null,trauma,null
general,null,null,null,null
null,null,null,trauma,null
null,null,null,trauma,null
null,null,null,null,CT
null,null,null,haemopneumothorax,null
null,null,null,disruption,null
null,null,null,null,radiograph
null,null,null,null,echocardiography
null,null,null,penetrating,null
null,null,null,trauma,null
null,null,null,trauma,null
null,management,null,null,null
null,imaging,null,null,null
null,null,null,trauma,null
null,null,null,injury,null
null,null,null,trauma,null
null,drained,null,null,null
null,null,null,injury,null
null,null,null,injury,null
null,null,null,trauma,null
null,null,null,acceleration,null
null,null,null,injury,null
null,null,null,injury,null
null,null,null,contusion,null
null,null,null,null,echocardiography
null,diagnosis,null,null,null
null,imaging,null,null,null
null,null,null,trauma,null
null,null,null,injury,null
null,null,null,disruption,null
null,null,null,injury,null
null,null,null,null,B15
null,2TT,null,null,null
null,null,null,null,2352
null,null,null,null,BY-NC
null,null,null,Trauma,null
null,null,null,null,CT
null,haemothorax,null,null,null
null,null,null,fracture,null
null,null,null,disruption,null
null,null,null,null,radiographs
general,null,null,null,null
null,null,null,trauma,null
null,null,null,trauma,null
null,imaging,null,null,null
null,haemothorax,null,null,null
null,null,null,trauma,null
null,null,null,null,CT
null,null,null,fracture,null
null,null,null,extravasation,null
null,null,null,injury,null
null,1b,null,null,null
null,null,null,injury,null
null,null,null,fracture,null
null,imaging,null,null,null
null,drained,null,null,null
null,haemothorax,null,null,null
null,transfusion,null,null,null
null,drainage,null,null,null
null,haemothorax,null,null,null
null,null,null,hemithorax,null
null,null,null,injury,null
null,null,null,disruption,null
null,null,null,null,radiograph
null,null,null,null,CT
null,imaging,null,null,null
null,MRI,null,null,null
null,null,null,cardiomyopathy,null
null,null,null,injury,null
null,null,null,contusion,null
null,null,null,Trauma,null
null,null,null,null,CT
null,imaging,null,null,null
null,MRI,null,null,null
null,null,null,excluded,null
null,null,null,null,echocardiography
null,drainage,null,null,null
null,null,null,loculations,null
null,null,null,contusion,null
null,null,null,injury,null
null,null,null,null,echocardiography
null,null,null,trauma,null
null,null,null,trauma,null
null,null,null,injuries,null
null,null,null,trauma,null
null,null,null,injuries,null
null,null,null,disruption,null
null,null,null,displacement,null
null,null,null,injury,null
null,null,null,injury,null
null,treatment,null,null,null
null,Treatment,null,null,null
null,therapy,null,null,null
null,null,null,injury,null
null,null,null,trauma,null
null,null,null,injury,null
null,null,null,constructed,null
null,null,null,trauma,null
null,null,null,F.,null
null,null,null,trauma,null
null,null,null,Trauma,null
null,R.,null,null,null
null,null,null,Fadel,null
null,null,null,injuries,null
null,null,null,113–119,null
null,R.,null,null,null
null,null,null,injury,null
null,null,null,null,287–295
