B-PI,B-GOAL,B-SurgicalPreparation,B-IM,B-SurgicalProcedure
Trauma,null,null,null,null
Trauma,null,null,null,null
pseudoaneurysm,null,null,null,null
Fandinoa,null,null,null,null
Pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
lesion,null,null,null,null
pain,null,null,null,null
null,null,null,MR,null
null,null,null,null,surgery
null,null,null,null,surgery
null,null,null,null,surgery
null,null,general,null,null
pain,null,null,null,null
null,null,null,CT,null
hematoma,null,null,null,null
hematoma,null,null,null,null
pseudoaneurysm,null,null,null,null
null,null,null,angiogram,null
pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
null,null,null,angiogram,null
hematoma,null,null,null,null
null,drained,null,null,null
null,null,null,null,surgery
pain,null,null,null,null
hematoma,null,null,null,null
null,null,null,2352,null
null,null,null,BY-NC,null
J.C.,null,null,null,null
Trauma,null,null,null,null
null,null,null,CT,null
hyperdense,null,null,null,null
hematoma,null,null,null,null
rupture,null,null,null,null
hematoma,null,null,null,null
pseudoaneurysm,null,null,null,null
rupture,null,null,null,null
hemorrhage,null,null,null,null
null,null,null,null,surgery
hemorrhage,null,null,null,null
hemorrhage,null,null,null,null
null,achieving,null,null,null
pseudoaneurysm,null,null,null,null
aneurysm,null,null,null,null
Pseudoaneurysm,null,null,null,null
penetrating,null,null,null,null
injuries,null,null,null,null
trauma,null,null,null,null
pseudoaneurysm,null,null,null,null
injury,null,null,null,null
injury,null,null,null,null
deterioration,null,null,null,null
hemorrhage,null,null,null,null
null,null,null,null,surgery
null,null,null,null,surgery
injury,null,null,null,null
pseudoaneurysm,null,null,null,null
deterioration,null,null,null,null
pseudoaneurysm,null,null,null,null
pseudoaneurysm,null,null,null,null
pain,null,null,null,null
null,null,null,null,surgery
injury,null,null,null,null
J.C.,null,null,null,null
Trauma,null,null,null,null
null,null,null,angiography,null
pseudoaneurysm,null,null,null,null
null,null,null,angiography,null
pseudoaneurysm,null,null,null,null
Trauma,null,null,null,null
P.,null,null,null,null
null,management,null,null,null
pseudoaneurysm,null,null,null,null
N.,null,null,null,null
null,management,null,null,null
D.,null,null,null,null
pseudoaneurysm,null,null,null,null
trauma,null,null,null,null
Trauma,null,null,null,null
null,null,null,null,surgery
null,treatment,null,null,null
D.,null,null,null,null
injury,null,null,null,null
null,null,null,null,K.
pseudoaneurysm,null,null,null,null
