B-SurgicalPreparation,B-GOAL,B-SurgicalProcedure,B-IM,B-PI
null,null,null,null,Trauma
null,null,null,null,Trauma
null,null,null,null,pseudoaneurysm
null,null,null,null,Fandinoa
null,null,null,null,Pseudoaneurysm
null,null,null,null,pseudoaneurysm
null,null,null,null,lesion
null,null,null,null,pain
null,null,null,MR,null
null,null,surgery,null,null
null,null,surgery,null,null
null,null,surgery,null,null
general,null,null,null,null
null,null,null,null,pain
null,null,null,CT,null
null,null,null,null,hematoma
null,null,null,null,hematoma
null,null,null,null,pseudoaneurysm
null,null,null,angiogram,null
null,null,null,null,pseudoaneurysm
null,null,null,null,pseudoaneurysm
null,null,null,angiogram,null
null,null,null,null,hematoma
null,drained,null,null,null
null,null,surgery,null,null
null,null,null,null,pain
null,null,null,null,hematoma
null,null,null,2352,null
null,null,null,BY-NC,null
null,null,null,null,J.C.
null,null,null,null,Trauma
null,null,null,CT,null
null,null,null,null,hyperdense
null,null,null,null,hematoma
null,null,null,null,rupture
null,null,null,null,hematoma
null,null,null,null,pseudoaneurysm
null,null,null,null,rupture
null,null,null,null,hemorrhage
null,null,surgery,null,null
null,null,null,null,hemorrhage
null,null,null,null,hemorrhage
null,achieving,null,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,aneurysm
null,null,null,null,Pseudoaneurysm
null,null,null,null,penetrating
null,null,null,null,injuries
null,null,null,null,trauma
null,null,null,null,pseudoaneurysm
null,null,null,null,injury
null,null,null,null,injury
null,null,null,null,deterioration
null,null,null,null,hemorrhage
null,null,surgery,null,null
null,null,surgery,null,null
null,null,null,null,injury
null,null,null,null,pseudoaneurysm
null,null,null,null,deterioration
null,null,null,null,pseudoaneurysm
null,null,null,null,pseudoaneurysm
null,null,null,null,pain
null,null,surgery,null,null
null,null,null,null,injury
null,null,null,null,J.C.
null,null,null,null,Trauma
null,null,null,angiography,null
null,null,null,null,pseudoaneurysm
null,null,null,angiography,null
null,null,null,null,pseudoaneurysm
null,null,null,null,Trauma
null,null,null,null,P.
null,management,null,null,null
null,null,null,null,pseudoaneurysm
null,null,null,null,N.
null,management,null,null,null
null,null,null,null,D.
null,null,null,null,pseudoaneurysm
null,null,null,null,trauma
null,null,null,null,Trauma
null,null,surgery,null,null
null,treatment,null,null,null
null,null,null,null,D.
null,null,null,null,injury
null,null,K.,null,null
null,null,null,null,pseudoaneurysm
